@relation MulticlassDataStream

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}

@data
0.93666,1.8042,24
7.678,0.84112,19
3.3167,9.5408,17
3.196,4.3059,15
6.0719,-1.4509,14
8.947,8.982,16
7.5969,0.88157,19
9.0121,9.7717,23
6.0329,1.6691,14
6.0039,1.4984,14
5.5811,2.722,10
9.039,9.0851,23
7.5095,9.5981,23
6.1107,1.9603,12
4.222,9.54,17
10.537,6.9543,16
7.8993,3.9288,5
5.746,5.2591,21
7.7778,1.0032,19
5.4437,3.8465,21
6.8923,8.8363,23
9.5103,10.027,16
5.3494,10.059,17
-0.62343,4.8425,18
8.0182,7.2848,20
8.7849,-0.4027,12
9.9355,6.4843,16
8.4267,7.7467,20
5.09,4.393,21
5.9367,1.6458,14
8.8007,10.665,16
0.18985,3.5035,24
0.030165,4.8095,18
0.51823,4.8297,18
9.6151,6.4288,22
3.1442,4.9959,15
7.3211,1.1316,19
5.3491,4.0537,21
3.2293,4.3421,15
2.9265,2.3394,24
10.444,9.2391,16
4.6684,10.445,17
4.5919,3.2425,21
0.12838,4.8083,18
1.7545,10.421,13
8.3212,1.0268,19
8.2956,8.3064,3
10.054,7.2248,16
10.242,7.7498,16
4.8102,9.6628,17
5.9811,2.0489,14
5.1105,4.1494,21
3.1029,4.31,15
8.3352,9.8931,22
9.4132,1.7489,1
7.5138,-1.3165,12
2.2762,9.9893,13
5.9844,2.9653,14
5.8747,5.3509,21
3.1738,4.139,15
5.0518,5.0977,21
4.0205,10.015,17
0.32314,4.8274,18
6.0691,-1.2549,14
3.1669,3.9851,15
7.5359,8.8531,22
0.68028,8.8726,17
5.9529,1.1411,14
6.0176,7.9738,20
2.1886,4.8977,18
1.6111,10.524,13
0.21862,4.7254,8
-0.3189,4.7693,18
6.0483,8.23,20
3.1122,4.6765,15
2.07,2.6331,7
-0.49805,4.7574,18
-0.151,4.8082,18
8.8153,1.0356,19
7.9587,8.9031,3
6.65,9.2549,23
3.1026,4.2934,15
8.7891,0.96586,19
4.7104,9.9623,17
0.051406,4.8403,18
5.9001,5.9921,21
1.7128,4.8032,18
3.117,4.4097,15
6.2307,7.6926,20
8.7577,9.9746,16
5.2565,9.9692,17
3.0435,4.7651,15
1.5869,10.549,13
8.172,1.1322,19
1.7511,10.372,13
2.9453,9.4603,13
5.5039,5.0487,21
1.1349,10.937,13
7.4045,9.564,23
3.4072,4.1737,6
2.4098,9.8874,13
3.3512,6.8529,6
9.4865,8.0079,22
7.9318,8.7227,3
2.59,2.3932,24
5.2859,2.7657,10
3.2165,4.4464,15
7.0674,8.9347,20
8.167,9.6107,23
8.2107,0.85268,19
8.4066,8.7876,16
3.1643,3.9696,15
0.62002,2.2266,24
7.386,0.82745,19
8.8426,9.5365,23
7.8384,8.6512,3
7.5696,9.2156,23
5.4991,5.8158,21
2.6859,9.7051,13
10.39,9.1465,16
1.6503,2.8637,24
7.9071,10.59,16
6.0565,1.1997,14
3.06,4.2775,15
4.6839,6.7641,20
10.477,7.2457,16
3.3691,9.0316,13
8.061,0.82071,19
7.4587,5.0316,11
3.1467,4.0018,15
0.89862,4.8623,18
2.4909,4.9371,18
2.5474,9.8303,13
2.5365,10.099,17
5.969,5.6204,11
1.2104,10.925,13
6.7383,8.9394,23
3.0467,4.848,15
3.0758,4.466,15
8.7697,9.3242,23
7.6474,4.6182,11
9.4958,7.42,16
0.18858,4.6499,9
5.0911,4.5209,21
2.3835,9.935,13
1.2995,4.8623,18
5.9207,1.3342,14
3.4151,9.0961,13
6.7558,7.9867,20
7.9193,9.4174,22
0.54227,4.8317,18
3.1906,4.2006,15
9.9062,8.027,16
8.6697,9.5733,23
8.8784,7.6192,20
3.1103,4.1822,15
8.3092,8.097,22
6.9423,10.49,22
5.953,6.3544,21
3.0957,3.9951,15
7.7817,8.7778,22
7.4017,1.0113,19
11.366,7.7673,16
3.1116,9.2591,13
4.7113,5.4542,21
4.6842,7.2506,20
3.0563,4.4256,15
3.8761,1.6799,7
8.7768,8.5832,20
6.0344,2.424,14
6.039,-2.188,14
2.3502,9.9646,13
3.1651,4.5847,15
6.4445,10.728,17
2.605,4.8756,18
2.8084,9.5558,13
2.5077,9.9385,13
11.628,6.9591,16
2.8802,11.364,2
7.4516,9.2393,23
8.4485,7.512,20
8.3352,7.9086,22
3.5188,9.57,17
1.5902,4.8853,18
4.0425,8.059,2
11.325,8.0821,16
3.4032,4.5736,6
3.1924,4.4827,15
7.4009,7.5629,5
3.1607,1.2052,24
7.0882,2.6485,10
8.5924,9.4932,23
6.0984,-2.63,14
5.6413,4.8036,21
7.9137,9.8679,23
1.3375,4.8509,18
3.1079,4.7763,15
3.2563,3.6493,15
2.1389,10.152,13
8.4761,1.1971,19
5.5163,4.0376,21
7.6214,9.3706,23
2.0832,10.177,13
0.60273,12.243,2
8.9613,8.8853,16
4.7953,5.7839,21
5.3166,3.9956,21
8.1262,0.96871,19
2.2779,9.1774,17
7.4243,8.5151,23
3.8706,7.2255,20
8.6459,1.175,19
7.5587,7.84,20
10.597,6.4083,16
3.2078,3.189,15
9.4297,7.784,20
3.145,4.4712,15
4.6976,10.3,17
3.7875,7.9759,20
5.6369,5.1687,21
8.1483,12.225,16
6.8793,10.63,22
4.7241,4.5797,21
6.1889,9.2396,23
8.3313,6.4943,22
10.752,6.678,16
7.5145,8.7232,23
1.5473,2.4717,24
6.4053,9.7946,23
0.12137,4.4486,24
6.9276,9.1784,23
7.9943,9.2959,23
2.1925,10.14,13
-0.10301,4.7682,18
2.0721,10.171,13
8.2891,9.3015,23
5.1485,5.6297,21
1.3494,4.893,18
7.9076,8.969,23
0.51866,4.8297,18
9.2004,9.8932,23
9.1749,6.1034,16
9.0498,7.862,22
7.2327,9.2699,23
5.9983,1.2173,14
9.2974,10.123,16
3.0433,4.8651,15
9.7589,7.3134,22
6.0971,11.186,22
6.4494,5.8234,22
7.4018,9.6222,23
6.1265,9.7493,23
7.8756,9.0889,3
7.3501,7.4803,22
8.8655,9.2431,22
2.2166,10.05,13
8.3921,1.0475,19
3.1566,4.0344,15
3.1357,4.4091,15
6.7711,10.375,17
5.9899,-0.37254,14
6.1445,7.1288,20
7.2418,0.80718,19
3.0012,4.9805,15
2.1328,9.1624,17
5.3756,4.8977,21
3.1929,3.7819,15
5.662,3.4424,21
9.0405,10.049,16
8.4964,8.8375,20
4.9743,5.443,21
5.8997,9.3195,9
6.027,1.2972,14
6.0428,0.06953,12
5.9443,7.7987,20
8.6634,8.2479,22
0.036538,4.4173,24
3.1511,4.3086,15
2.7081,6.7303,20
7.3198,0.8101,19
2.0401,9.6345,17
0.46748,4.856,18
1.6727,4.9268,18
10.631,5.6671,16
9.3249,10.826,16
5.1987,5.3559,21
11.529,5.6819,16
10.356,8.8028,16
6.1955,2.5979,4
7.901,9.8352,23
0.97213,4.8906,18
1.7874,2.3126,7
5.567,7.9859,20
7.5931,0.9742,19
0.081253,4.9244,24
8.1686,1.0326,19
6.0038,2.0702,14
8.7175,8.8047,20
-0.74552,4.8211,18
9.1571,1.0262,19
5.035,3.9286,21
5.7821,4.311,21
1.1806,4.8443,18
8.1872,1.1092,19
-0.3784,4.8402,18
3.9969,9.9518,17
7.5591,0.97313,19
3.0841,4.5165,15
3.1392,4.0992,15
4.3401,7.7359,20
-1.5288,4.6645,18
7.8211,0.86196,19
0.95552,2.804,24
10.572,7.2043,16
6.4445,8.6009,23
3.2164,4.2134,15
7.8605,8.4181,22
8.7275,9.9473,22
3.1422,4.0117,15
6.9053,5.9066,5
7.1206,9.8544,22
4.9957,9.9775,17
5.1957,5.1646,21
7.0778,8.7662,23
8.5412,9.4425,22
6.4561,2.5324,4
7.7727,0.79425,19
0.19335,4.794,18
10.006,6.0948,16
1.248,9.0696,17
4.6093,4.2689,21
3.0664,9.4332,17
0.061994,8.0831,17
2.2325,1.7615,8
4.7751,10.432,17
2.9668,1.4816,24
3.3866,5.5142,6
5.0279,4.295,21
1.6162,10.569,13
7.7305,9.1131,22
4.9519,10.086,17
5.6028,9.2371,23
8.5838,-1.2994,12
-0.78479,5.6784,24
7.7172,1.2066,19
5.9579,0.23665,14
2.7157,9.7316,13
3.8079,9.8835,17
5.0361,4.5738,21
4.8309,7.874,20
9.9263,8.7245,16
7.9832,10.763,22
3.0209,9.4197,13
8.6576,8.3211,22
4.5284,7.2476,20
1.9432,10.341,13
7.9676,9.935,22
4.781,5.8306,20
5.9394,3.6813,14
0.95452,9.0105,17
3.1754,4.4354,15
0.42706,4.8431,18
4.9543,4.9799,21
0.61285,4.8714,18
8.0933,1.1301,19
5.5678,5.0656,21
3.2059,4.3081,15
3.1232,9.3287,13
3.6221,11.799,2
6.6877,0.84,19
7.6586,8.8178,3
7.5946,9.9486,23
7.6044,7.7997,20
8.3274,8.1045,20
7.061,9.2116,23
-0.40566,6.0775,24
9.7583,1.3933,19
5.4472,4.8405,21
-0.28188,3.4071,24
4.6518,10.386,17
-0.20116,4.8115,18
9.0022,12.044,16
1.5941,10.615,13
8.0036,1.0724,19
-0.024354,4.9572,24
7.074,6.6898,20
11.687,3.3072,16
-0.62372,4.8193,18
7.83,8.2372,20
9.7747,7.0881,16
5.4108,6.6996,21
8.9185,8.4986,16
6.0176,1.5104,14
4.1296,10.253,17
3.718,0.56341,24
9.4206,8.0378,22
8.0045,8.1548,20
7.8881,9.5937,23
7.3198,9.6951,23
0.00022609,4.8272,18
8.5452,9.707,23
7.914,6.2943,11
8.1609,10.019,16
8.2927,8.8958,23
0.98046,2.1083,24
5.1522,5.1535,21
9.6632,7.835,16
9.5775,7.6274,20
7.4409,7.1625,11
6.1541,-4.3132,14
6.0692,0.39811,14
3.6099,9.9639,17
6.8105,0.78993,19
6.9878,10.122,22
7.7376,8.3839,20
1.8831,1.0773,24
3.145,3.7129,15
9.7051,3.1715,1
10.601,5.8073,16
0.59823,4.8373,18
3.4019,4.8401,6
3.0987,4.071,15
9.6307,8.0609,20
2.9227,9.4546,13
8.6391,1.0795,19
2.8719,9.5311,13
5.9669,0.96332,14
5.9874,-0.43992,14
10.655,8.5033,20
7.0345,8.9611,22
4.4549,9.4024,17
-0.44339,4.7783,18
6.0116,6.1385,21
5.3215,5.7738,21
-0.13747,4.7756,18
8.4453,0.98978,19
1.6479,10.473,13
7.0145,11.216,22
9.7263,9.2312,16
7.5545,0.98467,19
2.6173,9.7283,13
-1.3357,4.7237,18
7.4831,7.1509,5
3.8969,2.849,10
7.633,10.53,17
3.5515,8.9978,13
7.1991,8.3734,22
8.939,9.5802,16
7.6463,8.9487,3
1.6994,10.561,13
6.0349,0.61656,14
6.9394,8.3322,22
5.2841,3.7784,21
5.7533,5.9483,21
1.8682,10.351,13
8.7551,8.5296,20
7.4491,0.84054,19
3.8723,11.282,2
5.3457,10.045,17
6.7709,5.8713,5
0.63684,3.5635,24
5.8954,3.6934,14
-0.74941,4.7222,18
2.8676,9.5724,13
7.1642,0.85948,12
3.2045,3.735,15
3.3751,6.0187,6
-0.28673,4.8222,18
6.8549,0.88664,19
3.3961,4.8154,8
6.8088,9.377,23
3.1496,4.0914,15
-0.84386,4.7401,18
6.8016,0.89685,19
5.0434,7.3963,20
1.1927,3.8854,24
2.206,8.6825,17
1.1787,4.8464,18
7.327,9.0727,22
3.0437,4.1595,15
3.1658,4.5036,15
7.8958,1.1164,19
5.183,4.8278,21
4.5141,9.9325,17
8.7791,8.1741,22
4.3016,10.216,17
8.3044,7.1563,22
6.7451,2.6451,10
7.212,7.8967,20
6.2825,-1.2035,12
3.6283,0.71574,24
9.3721,10.327,22
7.7093,6.8619,22
9.0923,1.1894,19
1.7909,2.8422,24
7.0912,8.6471,20
3.0783,4.5804,15
3.0955,4.7015,15
7.2851,9.2218,23
9.1591,2.9957,4
-0.34061,4.8255,18
-1.4136,4.7612,18
2.0875,9.6462,17
5.0618,3.474,21
10.698,7.3005,16
4.1311,9.5534,17
8.3839,5.6084,11
1.9212,10.33,13
7.7815,11.322,16
8.3109,9.4918,23
8.1306,1.0717,19
9.6029,10.675,16
2.3216,1.7365,24
10.216,8.9835,16
4.951,4.2762,21
2.0069,10.272,13
3.5272,3.2944,8
10.037,8.2949,16
3.9218,0.66219,24
2.4785,9.8598,13
8.8801,8.5499,16
5.7027,6.1992,21
7.3592,1.1373,19
6.0654,0.83927,14
6.0373,2.1547,14
2.7582,0.67488,24
11.37,6.9617,16
7.8769,3.1672,4
3.1104,4.6966,15
6.4369,2.6611,10
2.2985,9.8729,13
5.4464,4.9894,21
1.8327,1.712,24
5.9311,3.104,14
4.6549,9.9956,17
3.0549,4.5033,15
6.0085,1.1177,14
3.104,3.7803,15
9.557,8.2351,16
2.3761,9.9017,13
7.9363,7.9655,20
6.6988,10.091,17
7.3062,9.6257,22
5.9959,1.9761,14
8.2953,1.2661,19
6.0824,3.0356,14
8.4572,8.7807,16
1.6042,10.61,13
7.1356,7.5802,22
7.5403,8.9638,23
3.1355,3.9696,15
3.0762,4.6672,15
5.8578,6.9212,9
-0.10819,4.7521,18
2.9219,9.6596,13
5.9106,3.1237,14
3.0222,5.6322,15
5.126,5.08,21
5.9798,1.6686,14
7.0716,10.008,22
3.2166,3.7932,15
3.008,5.1506,15
5.5689,5.335,21
5.9379,1.9743,14
2.0895,2.418,24
7.1802,7.8123,20
3.0189,4.6726,15
4.5892,9.7112,17
1.4617,4.8155,18
5.1331,10.027,17
5.1533,6.1184,21
6.0116,2.0503,14
1.9566,10.236,13
5.3181,5.4215,21
5.301,5.6086,21
7.7333,6.4988,5
2.0559,2.6423,24
1.434,1.9973,24
4.7523,10.56,17
8.3844,10.696,17
3.6679,10.301,17
7.7407,8.2152,20
10.694,8.5181,16
7.0201,8.5673,22
8.3214,8.2709,20
6.4802,7.246,20
4.7362,4.2844,21
5.3962,4.4394,21
6.7991,11.931,22
9.6135,9.4757,16
7.3716,9.167,3
6.4622,9.6281,23
8.3352,1.1159,19
1.3127,4.9049,18
8.3092,8.9249,20
7.9375,0.89369,19
3.2916,2.5526,7
0.77998,3.0537,24
1.9271,10.242,13
9.2201,5.4994,11
0.42786,4.8214,18
0.91673,3.259,24
2.3125,1.91,24
-0.018902,4.8806,18
6.7867,5.9283,5
6.0547,3.1447,14
6.0558,0.51527,14
5.4698,8.0105,20
4.476,9.7611,17
3.0871,4.1325,15
6.0444,5.1509,21
5.9923,1.0042,14
8.6825,6.5596,22
6.8927,9.2667,23
3.2067,4.0007,15
