@relation MulticlassDataStream

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4}

@data
4.1443,0.21881,4
7.2267,0.25075,4
10.966,4.2637,3
5.9135,0.21418,4
4.7378,0.19497,4
9.8143,6.0517,3
4.7949,0.20769,4
4.7504,0.21532,4
6.9444,0.24819,4
9.7622,5.7819,3
10.118,5.2628,3
9.749,5.9002,3
2.429,0.18528,4
6.6137,0.22348,4
9.4974,7.1138,3
10.435,5.239,3
5.6384,0.2175,4
10.8,4.1478,3
3.4626,0.18541,4
6.1343,0.24064,4
9.4541,6.3648,3
6.7234,0.22209,4
7.1694,0.24193,4
10.284,6.1344,3
3.3957,0.18191,4
4.8809,0.20306,4
4.8505,0.20869,4
7.4933,0.2461,4
5.7894,5.3011,2
9.1956,7.1533,3
9.0143,7.7168,3
10.437,5.4914,3
10.834,4.7322,3
6.3561,0.22931,4
6.2117,0.23568,4
9.4108,7.4411,3
5.741,4.6313,2
10.504,4.9559,3
9.9655,5.1085,3
7.822,0.25476,4
9.4865,6.1939,3
5.4217,0.20541,4
9.8682,5.6224,3
4.7356,0.21296,4
5.9922,0.21395,4
6.4132,0.23007,4
9.7751,5.72,3
5.8913,6.3669,2
4.7615,10.485,1
7.53,0.23274,4
6.5407,0.23004,4
4.3531,0.23746,4
4.2672,0.21836,4
9.5633,6.3411,3
3.8163,12.211,1
6.4757,0.24024,4
2.5791,0.19342,4
6.4244,0.2365,4
4.3185,0.2081,4
6.8129,0.25897,4
5.452,0.21124,4
9.9628,5.6613,3
9.7744,6.0456,3
9.8382,5.1458,3
5.9916,7.5013,2
9.5418,7.2238,3
9.7174,7.8264,3
9.5321,6.3809,3
5.8738,6.0998,2
7.8469,0.26538,4
5.1008,0.21546,4
6.0739,0.24272,4
7.2426,0.24042,4
6.9823,0.24191,4
9.7151,5.7296,3
7.2967,0.24794,4
9.2927,6.9227,3
8.4908,0.2377,4
4.5045,0.20117,4
6.0332,0.2257,4
9.7993,6.1203,3
4.6059,0.19885,4
10.741,4.5501,3
9.2193,7.7649,3
6.2979,0.22959,4
4.457,0.21953,4
9.9986,5.3367,3
3.4884,0.18743,4
7.0687,0.22555,4
3.718,0.1945,4
3.3393,0.19787,4
4.3866,0.20866,4
9.4763,6.7141,3
10.064,5.9071,3
3.6471,0.21751,4
9.4938,7.7526,3
6.0726,0.20487,4
6.8888,0.21154,4
9.3318,7.1876,3
6.456,0.22312,4
9.3469,7.1473,3
2.9631,0.19881,4
9.445,7.1289,3
9.4403,6.9234,3
9.5962,5.9354,3
4.0057,0.21453,4
9.8941,6.0185,3
3.9707,0.19581,4
7.3718,0.20013,4
9.4049,7.3196,3
9.4298,5.723,3
3.7032,0.1811,4
4.1066,0.22139,4
10.29,4.9258,3
9.9755,5.105,3
10.047,5.102,3
7.8546,0.23723,4
9.8154,5.2724,3
6.9564,0.2398,4
4.5335,7.4912,1
6.4512,9.3916,1
5.6805,7.6919,1
9.4458,6.5073,3
5.2087,0.23021,4
5.6943,0.22326,4
5.6668,0.21965,4
9.5155,5.4163,3
10.121,5.5218,3
9.0773,6.8998,3
5.2397,0.22297,4
10.116,4.6199,3
9.823,5.4428,3
6.2638,0.23836,4
6.2858,0.23868,4
10.206,4.4229,3
10.364,5.7252,3
9.9734,6.2524,3
9.9291,4.2119,3
10.459,5.6418,3
6.4467,0.22876,4
8.6167,0.26307,4
3.875,6.6091,1
5.8744,5.2128,2
5.5083,0.21312,4
8.5887,9.1931,3
8.7967,6.9289,3
5.0379,0.2099,4
4.237,0.19384,4
9.7009,4.6,3
10.128,4.5804,3
8.3136,0.2434,4
10.125,6.3271,3
4.439,0.18792,4
7.6524,0.23701,4
6.6244,0.23688,4
6.0968,0.23634,4
5.1344,0.20972,4
10.198,5.1813,3
