@relation MulticlassDataStream

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5,6,7,8}

@data
0.10971,1.8003,1
5.2671,10.023,4
2.1666,1.4798,5
3.6029,3.61,5
1.1716,6.4365,7
5.0883,6.176,7
2.4252,9.4236,7
3.182,4.3563,5
0.99828,2.6028,5
1.5665,11.562,8
3.9908,3.6677,5
3.2447,6.1502,3
1.0205,8.639,8
8.5119,8.7299,6
3.8902,2.6466,5
1.6049,7.7451,8
-0.087943,4.9646,3
7.4909,10.387,6
1.5292,3.1737,5
1.349,9.031,8
2.2079,8.4852,7
1.371,9.8092,7
7.2701,9.5784,6
0.39241,1.2375,1
-0.027681,9.3042,8
0.67505,6.8927,8
1.7642,9.5439,7
7.9922,7.9596,6
1.6149,10.268,8
1.5837,7.5448,7
6.284,7.4657,6
0.97154,5.9759,8
4.0345,6.9001,7
0.67664,7.3077,8
1.4545,9.5051,8
1.223,8.4038,8
3.2463,4.2507,5
1.4833,10.912,8
1.3786,8.2458,8
4.5792,3.8967,5
0.93342,1.9906,1
0.93905,7.7669,8
5.9519,7.3501,7
7.7777,3.8445,6
3.6094,8.9131,7
0.026695,5.0637,3
8.9771,9.8782,2
4.7282,7.4513,7
0.91262,7.0229,8
9.355,7.6905,6
-1.2697,6.4559,8
1.809,8.7329,8
7.4199,4.7736,6
1.3898,0.92156,1
0.66756,9.6534,7
4.1411,6.7713,7
1.4528,1.721,5
1.6471,6.9978,8
7.7153,7.1178,6
8.3141,8.6018,6
6.6045,11.985,6
3.1059,8.7486,7
0.92693,6.4119,8
1.1157,6.7236,8
1.1798,5.6948,8
6.2512,4.803,6
3.3572,3.4335,5
5.7638,3.3385,5
11.126,9.7206,6
2.7526,2.4422,5
1.0566,8.3257,8
0.44887,7.8802,7
6.6248,6.1715,6
0.59234,5.2574,8
4.6307,3.3611,5
0.80338,9.4519,7
8.5683,10.434,6
0.36351,1.8799,5
2.3062,2.989,5
1.3531,8.6612,8
5.2637,4.5512,5
7.705,5.3192,6
8.6972,9.2795,2
2.6726,7.9988,7
2.9157,3.977,5
0.84803,5.5133,3
6.2189,4.5123,5
10.201,14.645,6
1.7196,9.1158,8
8.4024,6.5979,6
5.1469,3.7446,5
-0.89743,8.993,7
4.151,4.0153,5
1.8537,2.4833,5
1.8429,8.2536,7
0.99594,9.4715,7
5.3647,7.4867,7
3.7746,7.9895,7
4.1605,7.412,7
2.1095,3.9486,5
4.0793,4.2588,5
3.0598,2.4378,5
2.7166,7.6486,7
4.7333,3.2424,5
2.3579,1.8379,5
8.2508,5.8034,6
4.6825,3.992,5
0.31942,8.7759,8
7.7383,7.0372,6
0.63589,1.9449,1
4.7136,8.2573,7
8.315,8.539,6
1.3518,6.3723,8
5.1113,4.623,5
2.3871,7.3688,7
4.2193,7.1691,7
0.11597,5.2378,8
