@relation MulticlassDataStream

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}

@data
4.3949,8.6341,13
3.9838,7.0504,11
-0.3202,10.357,10
4.5105,8.6296,13
2.0929,9.7222,10
7.6049,4.0715,5
7.5226,8.3157,16
3.2924,3.5809,9
3.5105,8.0768,12
13.108,9.1058,16
4.6673,8.061,12
5.9654,8.0597,12
-0.11319,6.8519,15
10.167,8.8457,16
4.4729,8.1671,13
7.4014,8.4365,16
6.2389,6.222,11
3.7353,2.1492,9
8.4709,5.0346,14
11.905,8.8484,16
2.0508,6.3045,15
0.56819,6.4705,15
9.116,10.883,8
6.3454,8.0634,12
10.392,8.5682,16
1.776,6.2143,15
1.4838,5.9424,15
4.3804,7.1731,11
8.3705,7.6843,14
-0.52068,6.4248,15
8.7822,8.1813,16
0.70981,6.9019,15
2.2761,6.6124,15
5.9271,6.7449,11
2.5566,6.0882,15
1.4605,6.2036,15
9.8579,5.7776,14
6.2601,8.0841,12
4.9949,9.8609,13
5.128,6.9506,11
6.3012,5.8334,7
8.9281,5.2499,14
5.4863,4.2141,5
0.43379,6.5493,15
3.2378,3.9983,9
-0.5518,5.3303,10
8.7677,5.5388,14
-0.90479,6.4162,10
12.795,9.0263,16
2.1125,0.21039,2
5.3056,7.3173,11
5.3967,7.6382,11
10.84,9.0287,16
8.1226,6.5193,14
5.2561,9.4731,13
4.6228,8.8983,13
5.0175,2.7477,7
7.2829,8.0657,12
4.7616,8.5438,4
-1.4878,7.5173,15
8.5841,8.2678,16
5.1912,9.7346,13
3.4127,8.0683,12
6.3449,10.803,4
4.8942,2.5934,9
10.818,7.1733,14
5.0931,2.5885,9
5.7368,3.7555,9
3.361,2.172,9
7.9989,8.065,12
8.5166,7.9863,14
4.2248,6.1299,11
1.685,5.2802,15
5.5891,7.2047,11
12.702,9.4674,16
6.7223,4.2841,7
9.4155,8.485,8
4.6433,3.503,9
4.5759,4.0514,9
4.2126,8.3884,11
6.1445,3.9848,9
4.0348,7.5176,11
8.6219,3.4315,6
5.1215,10.064,13
3.5796,6.752,11
3.1622,5.0259,15
3.3385,6.6535,13
9.4721,6.6335,14
4.9116,2.9666,9
9.2652,7.9757,14
-0.53416,7.2073,10
3.7444,3.1449,9
6.8142,8.0728,12
0.14937,8.1138,10
5.1033,7.715,11
5.6597,10.824,13
0.32096,6.9628,15
3.1762,5.1184,15
4.5765,9.1119,13
10.041,10.703,8
7.7093,7.8396,16
9.2567,9.5068,14
-0.75883,7.422,10
4.5007,6.7949,11
6.7826,11.676,4
6.4653,0.38445,1
9.9026,9.1421,16
3.8065,7.0589,13
2.1054,5.7308,15
6.2153,8.08,12
5.7995,4.7674,5
1.0205,8.3781,10
5.4369,8.135,3
10.072,8.9845,14
4.4381,7.16,11
0.67882,4.2868,10
6.2293,8.0841,12
5.6192,1.5052,7
-1.1893,7.2121,10
8.1208,8.5923,16
4.514,7.1731,11
-0.16144,9.0741,10
1.7992,5.9551,15
3.8743,6.3422,11
0.067118,8.5898,10
4.2956,8.0729,12
6.0577,6.5732,11
5.7001,4.2326,3
6.8973,8.0711,12
7.9933,8.0659,12
5.2208,9.9309,13
0.343,10.591,10
3.6189,2.4106,9
8.4442,7.9529,14
2.2725,5.1822,10
5.9027,11.368,13
9.1903,8.6042,16
6.9094,8.0829,12
5.9915,2.6946,9
1.0761,7.0686,15
9.0364,8.4326,16
4.5224,2.9144,9
-0.59433,6.6078,10
6.3324,7.7446,16
5.3582,6.0348,11
4.0128,5.6852,11
2.2454,5.6881,15
-0.51712,3.3758,10
4.9958,8.8834,13
4.2024,2.7898,9
0.12083,6.0097,15
2.4642,4.9905,15
6.1739,6.8999,11
10.044,6.4145,14
3.0904,5.1193,15
10.688,8.4682,16
3.3676,6.3495,11
2.8878,4.7156,15
10.517,7.7793,14
9.2876,4.9936,14
3.0554,5.4239,11
2.7652,5.1438,15
9.9722,10.431,8
6.4829,8.0609,12
4.3882,8.4251,13
8.945,8.0661,12
3.2417,8.0701,12
4.6313,8.0841,12
4.9761,2.8836,7
4.2157,3.2444,9
2.2313,4.7105,15
4.2155,2.8761,6
4.6867,2.4435,9
5.0242,9.3747,13
4.0512,2.181,9
7.1307,-0.35802,1
4.983,2.7944,9
3.8755,4.1436,11
5.2081,6.5706,11
5.0835,7.047,11
9.3063,9.7005,14
0.56131,5.1516,10
2.1082,5.8368,15
1.5449,11.084,10
3.8193,6.2705,11
4.2353,7.5653,11
-1.2205,9.4318,10
9.1988,9.7616,8
3.616,3.4322,9
4.8312,2.5595,9
5.0351,7.0625,11
0.85834,3.2691,10
5.2817,7.3155,11
1.9527,8.0796,12
5.3749,8.0646,12
4.0423,6.1948,11
8.5633,8.2416,16
5.7262,11.405,13
3.7386,7.7533,13
4.9556,3.6519,9
7.4102,6.6476,14
2.6202,5.5768,15
10.28,8.626,16
3.9385,3.0216,9
4.6325,6.2908,11
4.3118,3.1361,9
9.0894,8.4351,16
0.36644,8.7018,10
-0.91132,7.3409,10
4.2063,2.2308,9
5.7687,8.0714,12
4.3616,8.0837,13
0.88845,9.0579,10
8.272,7.8069,16
2.5286,6.318,15
4.6741,8.9645,13
4.1648,5.814,11
4.5976,8.0702,12
9.6217,4.2817,14
4.9521,7.1043,11
5.3107,6.5414,11
3.7814,8.0651,12
6.0436,4.3681,5
1.3214,5.6669,15
7.1516,8.0806,12
5.1654,7.2707,11
1.0238,5.8837,15
9.6762,8.5696,16
2.4418,8.8217,10
1.1424,3.2925,10
5.6031,6.7274,11
4.8637,9.4013,13
5.6247,10.673,13
4.175,6.7324,11
-0.90669,11.032,10
4.1542,3.4876,9
4.9721,8.0792,12
8.2102,9.4465,14
4.7211,3.7037,9
4.3138,8.0709,12
-0.51284,3.8352,10
0.023233,8.8902,10
5.9324,11.72,13
8.8235,8.5358,16
4.7239,8.8164,13
10.382,7.6974,14
7.0913,6.4914,14
4.9869,2.4081,6
6.1089,3.3115,9
6.4023,8.0632,12
2.619,7.8064,4
4.0353,8.0843,12
4.7314,2.089,9
6.0496,7.6232,4
4.6495,7.5907,11
5.0385,8.0721,12
4.4019,8.7067,13
9.2956,4.3826,14
9.8034,8.6581,8
9.4961,0.55532,1
4.6564,8.7689,13
8.8963,1.3176,1
3.7211,3.1321,9
3.9853,8.4639,13
4.5429,7.9373,4
7.9672,8.62,14
7.1983,10.525,4
3.6548,2.781,9
5.5915,8.0656,12
2.1193,5.3108,15
3.0493,3.5341,9
8.9024,8.0814,12
5.8537,6.2821,3
3.7256,8.0855,12
4.5066,2.7275,9
2.1753,5.5575,15
0.47258,7.2145,10
1.2721,11.012,10
3.3373,4.8325,15
7.543,8.0691,12
10.549,1.6777,1
-0.32946,6.7953,10
2.9319,5.7877,15
10.493,8.879,14
7.4229,-2.5304,1
2.1782,5.4669,15
6.7869,7.5727,16
4.2351,7.9742,13
0.18712,2.3239,2
0.68238,11.835,10
7.6808,7.9112,16
-0.47037,8.6473,10
0.85559,6.7017,15
-0.40297,6.557,10
4.0154,2.9451,9
8.016,8.083,12
4.9524,8.0766,12
5.1399,8.0608,12
2.7747,7.5065,11
6.9352,2.2787,6
4.1319,8.0679,12
9.5129,3.8431,14
5.7024,2.6707,9
8.8453,0.30602,1
4.3001,2.5784,9
6.4924,8.0629,12
6.1795,2.7709,6
10.188,8.5698,16
8.6158,12.264,8
4.3667,8.78,13
4.6879,2.5445,9
0.68622,8.6314,10
8.0062,7.9428,14
1.4441,6.2376,15
-0.2898,7.0445,15
5.3608,10.288,13
4.8819,2.5679,9
9.3124,5.6362,14
8.3771,7.8418,16
7.2551,8.0548,12
4.3508,8.0966,13
1.9738,5.2882,15
9.7365,8.6932,16
10.401,8.7015,16
6.4096,8.0795,12
0.31046,5.2433,10
-0.10124,9.1293,10
7.8765,8.0758,12
3.9689,8.0702,12
9.3633,4.8315,14
3.4427,4.3876,15
12.128,9.0018,16
2.6184,8.0943,10
4.7452,5.5014,11
8.957,8.026,14
5.1867,1.913,7
4.5558,3.4669,9
1.86,5.6857,15
7.2062,8.0841,12
3.644,4.6863,15
1.5643,0.034087,2
0.12432,7.7228,10
0.55892,6.6687,15
1.861,7.3546,10
5.218,7.5951,11
4.4301,7.5576,11
1.3296,8.5887,10
0.47124,7.6713,10
1.5293,6.719,15
9.2549,8.6589,14
4.3154,8.369,13
8.032,6.5364,14
5.6467,2.5338,7
4.6459,2.8195,9
4.5509,8.0788,12
-1.0761,10.196,10
-0.85759,8.9026,10
5.6332,10.366,13
4.7286,9.0603,13
-0.14376,5.7838,15
6.1682,8.0808,12
2.4652,5.5137,15
3.6913,3.2961,9
3.6673,4.6108,15
3.1828,4.4963,15
5.33,6.1049,3
7.5404,8.059,12
3.5884,3.3132,9
9.0011,8.391,16
4.8317,9.7551,13
4.5723,9.0921,13
1.4928,6.5321,10
5.3372,2.7527,9
5.2112,2.4123,9
5.1074,3.5007,9
5.1271,3.6964,9
5.0153,9.5721,13
2.323,9.4563,10
-1.6063,6.5491,10
9.5374,8.3672,16
6.8066,6.0449,14
3.5646,2.6933,9
6.2023,8.066,12
3.9066,8.0787,12
9.7311,6.4531,14
10.442,9.3537,16
7.7791,8.3784,14
0.37468,7.5682,10
8.5755,8.697,14
6.6707,2.2361,6
4.5816,9.2715,13
4.0863,8.1641,13
7.5306,8.252,16
6.6245,6.4858,14
8.8139,8.3185,14
4.6313,8.066,12
3.1965,2.4994,9
9.6285,6.3378,14
4.9509,8.5749,4
9.9943,8.7408,16
1.8104,9.2336,10
4.5362,6.2269,11
1.2211,8.7078,10
3.9929,7.5,11
1.8697,5.559,15
5.2389,6.5189,11
-0.10955,5.9509,10
5.6414,8.8124,4
11.295,7.09,14
5.5814,3.0284,9
2.2681,5.8477,15
2.1666,9.2834,10
2.6675,0.29406,2
0.24495,5.9579,10
6.63,2.2963,9
9.7094,6.9836,14
7.9473,7.757,16
7.777,7.9135,16
0.8578,6.7771,15
5.1446,6.7395,11
9.6528,7.1478,14
3.7745,3.7279,9
9.013,8.0565,16
3.7165,6.9445,13
0.18283,9.539,10
7.7229,4.8783,14
2.1798,5.4651,15
5.1064,10.441,13
9.1722,7.7521,14
9.0744,8.055,12
-0.13938,7.5992,10
4.7714,8.8965,4
9.62,5.5916,14
1.1803,8.2926,10
4.2807,8.0751,12
0.75097,8.2327,10
2.2993,6.0551,15
8.9626,7.5182,14
4.7823,8.9961,13
9.8085,8.9892,16
5.372,4.4608,5
4.7468,5.7023,11
7.5116,7.0909,14
8.1913,7.3597,16
0.09649,6.5534,10
4.3075,5.7609,11
7.427,8.2128,16
5.9083,7.1328,11
8.9511,8.7616,16
1.9804,5.2388,15
7.1451,8.0937,12
-0.5397,7.2366,10
-0.57521,7.0144,10
4.4749,6.8955,11
4.8551,3.2341,9
4.4566,8.0715,12
3.6312,8.0598,12
4.2216,8.0172,11
0.44976,6.8498,10
8.5215,2.8825,14
5.2708,7.6555,11
5.2018,10.22,13
4.1037,6.4982,11
3.035,3.5904,9
10.799,5.711,14
1.0014,6.1435,15
1.3638,5.682,15
12.093,9.5032,16
4.632,7.1306,11
2.1133,5.7238,15
7.2105,8.0752,12
4.2025,8.2273,13
5.7905,2.818,9
1.8129,6.0903,15
4.5532,8.9902,13
8.3994,7.1786,14
4.4146,2.4216,9
1.5276,5.2517,15
4.104,3.4169,9
6.5508,8.0706,12
4.276,8.0767,12
5.4188,10.243,13
0.68847,6.9042,10
6.5292,8.087,12
13.136,9.42,16
7.7178,7.8898,14
9.6937,8.2375,16
1.3681,11.841,10
7.4234,7.8703,16
5.3244,7.137,11
5.0507,2.4906,9
12.689,8.6581,16
2.1451,6.3849,15
1.0863,1.5019,2
-2.811,4.1671,2
3.4717,3.4817,9
7.7947,10.62,14
5.671,6.8306,11
7.1696,8.0769,12
4.1069,6.9122,11
7.57,8.0996,16
6.1591,7.7646,11
4.8702,7.3721,11
4.6564,9.1677,13
9.1213,8.9314,8
4.3937,6.3656,11
8.3276,7.964,16
6.3182,8.0653,12
9.6403,8.1989,14
3.8116,2.4359,9
4.0866,3.5392,9
0.029295,8.149,10
0.98605,13.201,10
4.9825,2.8227,9
-0.13285,7.9263,10
5.4883,10.603,13
8.8465,6.1471,14
6.9441,8.0532,12
-1.1381,11.432,10
9.0872,7.9355,16
1.7098,6.0804,15
6.3499,3.3959,9
10.245,6.6321,14
8.2281,5.8305,14
7.134,8.0671,12
1.3715,9.8509,10
12.348,8.9086,16
9.6855,9.5723,16
-0.81933,7.1925,10
-0.2425,10.751,10
1.6025,5.0715,15
0.62178,6.4097,15
4.6708,8.5887,13
8.1833,8.2382,16
-1.0732,5.4134,10
4.4088,7.0918,4
4.1721,1.393,7
3.6085,2.54,9
10.134,5.4307,14
9.3421,8.5545,16
-1.0076,3.3925,10
10.23,8.2559,16
5.2233,9.8859,13
10.264,5.8211,14
6.3661,8.0648,12
8.877,8.8046,16
10.886,3.7719,14
7.0944,2.6945,6
10.547,9.2043,16
4.9986,6.5424,11
10.438,8.59,16
4.428,8.747,13
-0.42769,6.5787,15
10.063,8.9337,16
7.8619,8.0691,12
8.9255,8.6649,8
10.898,6.0005,14
-0.042464,6.5257,10
8.5179,4.6895,5
4.1477,7.7985,13
3.9649,3.0986,9
4.7166,8.7549,13
4.2676,8.0542,12
4.151,8.0715,12
8.8023,5.0641,14
4.1771,3.3221,9
-0.26607,12.024,10
6.0478,8.0547,12
4.3546,1.4134,2
2.7122,5.239,15
7.3891,2.6925,6
2.8768,6.8909,11
8.7982,8.5351,16
1.169,10.977,10
11.161,8.7374,16
9.0684,7.6643,14
9.5718,10.581,14
4.6406,8.9257,13
5.7711,11.562,13
8.5404,9.9021,14
3.9718,3.9289,9
3.8596,7.2971,13
1.2755,8.0737,12
5.5739,6.1114,3
4.3627,7.5201,11
1.7274,5.9048,15
4.2815,7.6516,13
3.9241,8.1216,13
11.663,8.7215,16
8.3949,6.6097,14
0.11366,9.1614,10
8.0193,8.1127,16
-0.80398,7.2375,10
10.102,9.0476,14
9.9208,7.545,14
2.299,5.8566,15
5.3726,2.9574,9
7.4239,8.1034,16
4.6246,6.6479,11
4.7828,2.2319,9
8.9713,9.5774,8
1.9775,8.7093,10
10.231,5.9364,14
9.9617,7.8764,16
7.0226,8.0734,12
6.8481,7.4081,14
