Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.6599838169588644, 0.49444038779555505, 0.6061247571061008, 0.0, 
0.659021413695572, 0.5275935951738882, 0.6017479074324882, 0.0, 
0.629083971061936, 0.4809467011502968, 0.5731800882844323, 0.0, 
0.6876847333838634, 0.5466251474130296, 0.6395409242301165, 0.0, 
0.6565496649253652, 0.4922360823797869, 0.6044281841323208, 0.0, 
0.6683257784311717, 0.5191711859763588, 0.6226937090486939, 0.0, 
0.6594484545550394, 0.4934343624553023, 0.6087321738122627, 0.0, 
0.6745340016424961, 0.5187332594869759, 0.6238587218443936, 0.0, 
0.668708977162029, 0.5266345051572999, 0.6173632403774698, 0.0, 
0.6252936108920281, 0.48711303312558046, 0.5640278099629051, 0.0, 
