Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5667487355916467, 0.45204742889780375, 0.520610259751313, 0.0, 
0.5717448662599722, 0.4171651186888727, 0.5266276337176389, 0.0, 
0.5131919053021335, 0.4143745962568773, 0.4694919207764281, 0.0, 
0.5923743019678743, 0.49051086842808167, 0.557124194690775, 0.0, 
0.5779247980464471, 0.4949987365607091, 0.5497356927171636, 0.0, 
0.5296326240800201, 0.40936311945402426, 0.48702365197953273, 0.0, 
0.548484329254572, 0.5006992474531389, 0.5133912042774915, 0.0, 
0.6247871156054975, 0.4966737096280583, 0.5831753211425046, 0.0, 
0.5969330646195472, 0.48799092744913736, 0.5628031889486328, 0.0, 
0.5369522370971146, 0.46481390518095794, 0.507838810874086, 0.0, 
