Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.6599838169588644, 0.49444038779555505, 0.6061247571061008, 0.0, 
0.6612228860932123, 0.4916643872940565, 0.6066722494650771, 0.0, 
0.6769131626840821, 0.521313373378658, 0.6274708932270061, 0.0, 
0.6876847333838634, 0.5466251474130296, 0.6395409242301165, 0.0, 
0.6588500662749, 0.4932346367718243, 0.6085998722621828, 0.0, 
0.6733431184982633, 0.5145259953133062, 0.6213690069982434, 0.0, 
0.6594484545550394, 0.4934343624553023, 0.6087321738122627, 0.0, 
0.6745340016424961, 0.5187332594869759, 0.6238587218443936, 0.0, 
0.668708977162029, 0.5266345051572999, 0.6173632403774698, 0.0, 
0.6477414955086606, 0.4712945877419112, 0.593152450410969, 0.0, 
