@relation MulticlassDataStream

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}

@data
6.8368,5.924,5
6.2931,6.6658,20
7.6741,8.8007,23
9.8059,10.371,16
5.9664,1.6562,14
-0.59871,0.52158,8
8.5803,5.3641,11
5.9196,1.5134,14
5.2307,9.8864,17
0.82833,4.0133,24
9.008,-1.7877,12
7.7646,7.7576,22
1.6736,1.6334,7
4.9145,8.915,9
5.5851,2.7537,10
10.37,7.2409,16
7.9276,8.5186,3
8.1838,5.3329,11
10.404,-1.2284,12
7.9834,8.7619,3
7.3101,10.767,17
6.4318,2.6916,4
8.2177,8.6656,3
7.6056,8.6193,20
3.0959,4.3737,15
2.7205,9.722,17
10.733,10.152,16
8.0812,1.1716,19
8.549,1.3455,19
7.3025,7.3674,22
5.9802,1.3813,14
5.2595,9.9721,17
3.9721,2.3942,7
11.712,10.052,20
5.1965,2.0641,21
2.6763,6.8543,9
1.0593,4.868,18
3.1598,4.6021,15
1.4359,4.9238,18
6.4533,6.6304,11
1.2406,10.831,13
3.1295,4.0661,15
6.7071,7.9376,22
4.9755,2.7791,10
7.1777,8.719,23
5.2879,3.7842,21
-0.84799,4.7512,18
6.3323,7.743,20
9.2081,7.4754,20
6.7776,8.4246,20
9.6026,12.488,16
8.5059,1.2845,19
2.4765,9.8539,13
3.989,9.4217,2
4.8608,5.4381,21
0.028593,4.7877,24
8.592,0.9665,19
8.425,9.9401,23
6.0712,2.6826,10
5.9779,3.1492,14
-1.656,4.7056,18
1.5856,4.8955,18
8.4753,0.95374,19
8.2242,8.5882,3
10.251,-0.11742,1
7.4022,7.5916,20
-0.44174,4.7895,18
3.0682,4.7008,15
5.4245,3.9223,21
9.5791,7.6425,16
7.9932,11.055,22
8.8831,7.9043,22
0.75916,1.7853,8
-0.18897,4.8421,18
7.6764,7.3372,20
10.076,0.8397,1
7.5462,9.1886,23
2.2307,11.901,2
5.8263,2.7388,10
4.6925,8.154,2
5.1197,4.2006,21
10.926,8.5949,16
3.1918,3.9373,15
-0.54412,4.8419,18
3.3712,5.844,6
2.0681,10.258,13
3.1966,9.3253,13
1.3885,3.6719,24
10.326,5.5785,1
9.4104,3.1531,1
3.4465,10.005,17
8.191,9.7684,22
7.9294,9.165,23
9.1695,1.2503,19
0.10517,4.801,18
7.3073,12.007,22
8.236,0.92148,19
3.2972,4.1255,15
10.54,7.5534,16
10.143,1.4235,1
8.0175,8.6524,3
9.0952,9.5897,23
4.6482,6.4081,8
0.049271,4.8084,18
0.71847,4.8794,18
2.955,9.4488,13
6.354,2.6745,10
8.4908,5.3338,22
5.9443,2.3147,14
9.955,2.9592,1
3.3723,6.248,6
9.8628,1.2448,1
5.3794,7.2157,9
8.3342,7.429,22
7.4696,1.0295,19
3.0811,3.7789,15
1.7246,10.558,13
2.8043,8.3389,9
1.8068,10.325,13
2.1934,4.9499,18
4.3395,-0.64941,24
7.8997,8.6389,3
8.5103,10.993,16
