@relation MulticlassDataStream

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4}

@data
9.5873,7.0911,3
9.8908,6.4064,3
4.24,8.8687,1
10.095,5.0844,3
10.706,3.7834,3
9.8576,5.9667,3
9.7808,6.2946,3
9.9588,4.9522,3
4.7131,0.22268,4
5.1212,0.22445,4
3.9773,9.2986,1
10.044,6.3523,3
4.608,9.8325,1
6.9023,0.2464,4
1.4676,0.18236,4
5.8903,5.7157,2
2.9503,0.20017,4
10.254,5.5774,3
9.504,6.1956,3
5.9441,7.1506,2
4.8331,0.19757,4
5.8431,5.4903,2
5.751,0.22695,4
3.5222,0.18884,4
10.089,4.6922,3
10.173,5.3476,3
5.7493,5.1564,2
6.0158,0.23288,4
5.5195,8.5225,1
7.3491,0.24137,4
10.209,5.5018,3
5.8168,5.4155,2
9.2294,6.2653,3
10.452,4.5919,3
10.154,5.0853,3
3.5168,5.9278,1
6.9233,0.22716,4
3.743,10.578,1
10.599,4.3581,3
4.8345,7.5113,1
10.393,4.8923,3
4.1669,0.17865,4
5.9838,7.1927,2
10.016,5.2581,3
9.8001,5.4181,3
10.541,4.8652,3
7.2617,0.23245,4
10.148,5.4276,3
9.9826,5.1631,3
3.7034,5.1924,1
4.8706,0.19415,4
5.8126,5.4543,2
5.9333,6.6406,2
9.188,6.154,3
6.0035,0.23411,4
4.6761,7.8879,1
5.1312,0.21744,4
5.8132,4.7765,2
5.6449,0.2197,4
5.9075,0.21095,4
6.2074,0.21602,4
3.6638,0.20391,4
5.7615,4.476,2
5.7328,4.7693,2
5.8297,4.9419,2
5.8696,5.6998,2
4.7436,0.2333,4
3.7187,0.19899,4
5.5501,0.20827,4
6.2086,0.23865,4
10.395,4.4479,3
9.1942,7.2537,3
4.397,7.1551,1
9.7643,6.7407,3
5.6987,0.23052,4
10.082,5.9162,3
4.1206,5.0895,1
4.7279,0.20779,4
5.8079,6.1971,2
10.282,4.9913,3
5.0556,0.20353,4
10.271,5.7891,3
5.8795,5.8196,2
10.297,5.132,3
4.6547,9.0563,1
3.3614,6.0574,1
6.1883,0.20893,4
9.6796,7.3235,3
5.8651,6.0794,2
3.3996,9.5897,1
4.068,9.3009,1
4.49,6.3457,1
4.4532,0.21906,4
6.2978,0.21086,4
5.7129,5.2381,2
10.803,4.292,3
5.8278,5.4609,2
5.9024,6.1155,2
10.028,5.5005,3
7.7092,0.23216,4
4.8897,0.21105,4
11.083,3.8172,3
5.8703,6.2959,2
6.084,0.23099,4
9.1249,7.0057,3
8.8434,7.538,3
5.7823,5.2297,2
10.01,4.4403,3
5.7629,5.7121,2
5.8265,5.8423,2
9.4443,7.1839,3
5.6995,4.6332,2
9.7068,6.5079,3
5.8077,5.6019,2
5.8477,5.6547,2
5.6072,9.762,1
4.1338,7.4871,1
5.8676,5.5333,2
6.1766,0.23574,4
5.8649,5.2731,2
4.8069,0.20239,4
5.9109,6.249,2
3.1652,5.3941,1
10.316,3.9858,3
6.2991,0.21756,4
10.127,6.2315,3
4.9157,0.22702,4
5.0495,9.2574,1
3.8404,7.4987,1
10.249,4.6905,3
10.787,3.8661,3
2.8912,0.16002,4
10.378,4.1029,3
10.031,5.5554,3
5.0886,0.22828,4
9.693,6.0197,3
10.066,4.698,3
5.8555,6.5839,2
10.015,5.3477,3
6.5812,0.25207,4
10.045,5.9816,3
4.8197,0.21147,4
5.8953,5.333,2
3.3797,0.19303,4
2.7244,0.21016,4
5.8619,5.6071,2
5.8441,5.9651,2
5.925,6.9149,2
6.1508,0.21363,4
5.8293,0.22543,4
5.8472,6.2709,2
6.5677,0.25057,4
3.4773,9.2558,1
6.8097,0.22575,4
8.1679,0.24785,4
4.4446,7.9134,1
9.2813,7.5762,3
4.4869,9.7277,1
4.1888,0.18875,4
5.2634,8.5161,1
5.9438,6.7064,2
8.541,0.25426,4
6.6976,0.2405,4
4.7718,9.617,1
4.1469,8.6605,1
10.023,5.8538,3
5.8199,5.7558,2
6.1302,6.1929,1
8.9521,8.4876,3
4.3241,7.8571,1
5.9076,6.168,2
10.536,5.1395,3
9.7045,6.4913,3
6.8465,0.24005,4
6.3037,0.23984,4
5.8517,5.3077,2
9.8538,6.2599,3
10.309,5.545,3
10.149,4.5919,3
5.8023,5.8201,2
5.2537,9.4673,1
7.0291,0.22239,4
9.1582,7.4398,3
9.6512,5.6055,3
10.717,3.4399,3
5.7998,5.6285,2
10.547,3.62,3
4.1414,0.18669,4
6.1954,0.2415,4
9.8569,6.7997,3
5.7639,4.9059,2
8.1339,0.24929,4
10.01,5.4021,3
4.028,6.1921,1
5.9223,7.2009,2
10.319,4.9974,3
5.8245,5.2752,2
5.8913,6.2493,2
10.042,5.2032,3
9.7229,7.3371,3
4.1055,0.19529,4
3.4544,6.7359,1
6.6488,0.24096,4
4.7206,0.2058,4
8.1517,0.23468,4
9.755,6.1287,3
5.2061,6.6388,1
10.378,4.2676,3
5.9672,7.3346,2
3.9261,0.19088,4
4.2438,9.215,1
9.3746,7.4863,3
10.327,4.7584,3
4.996,0.22704,4
5.8622,5.7586,2
10.412,4.4215,3
7.6303,0.22279,4
3.2208,0.16425,4
10.174,5.3649,3
5.5429,0.21955,4
5.6284,9.1741,1
10.942,4.4369,3
4.4569,6.5416,1
9.1522,7.4676,3
3.5727,10.164,1
5.8241,5.5814,2
5.8621,5.1021,2
5.4596,0.21392,4
10.755,4.8983,3
3.5905,0.20656,4
5.8,6.3571,2
10.285,5.2311,3
3.4128,0.21618,4
4.2467,0.2026,4
4.5189,7.1888,1
4.5706,0.19485,4
4.0523,0.21866,4
10.495,4.8131,3
5.8138,0.21204,4
3.036,0.18667,4
6.0277,0.2147,4
9.6512,5.5675,3
11.02,2.6817,3
9.4083,6.9684,3
9.2268,7.6345,3
9.775,7.1904,3
6.6804,0.24108,4
3.5066,0.18027,4
9.6192,6.2165,3
5.9623,6.7467,2
4.282,0.19865,4
7.3828,0.25128,4
10.03,5.7938,3
3.8955,0.20532,4
4.6508,7.3758,1
4.9299,0.22759,4
9.397,7.4558,3
9.8796,6.8152,3
5.641,10.282,1
5.9221,6.9249,2
11.056,4.1189,3
4.9438,7.7315,1
3.3591,7.9032,1
9.7262,5.3216,3
4.9751,9.9435,1
4.4603,3.8011,1
