@relation MulticlassDataStream

@attribute x1 numeric
@attribute x2 numeric
@attribute y {1,2,3,4,5,6,7,8}

@data
6.9269,4.3478,6
-0.12096,8.3964,8
0.45741,2.6095,5
1.6887,6.1208,3
3.3785,6.698,4
0.061843,2.5377,1
0.58737,2.047,1
0.5613,9.4288,7
3.7593,12.198,4
1.0081,5.9446,3
7.6954,11.188,2
2.5497,5.9369,3
2.2041,2.3308,5
3.678,8.4863,4
8.5228,7.9764,6
10.739,11.99,6
2.6822,8.7966,7
-0.17713,5.2003,3
2.5448,9.0165,7
0.90556,1.5839,1
3.1094,3.2513,5
0.51258,5.7504,8
3.0833,7.8327,7
5.3567,11.927,4
4.9587,9.7496,4
3.6343,8.0862,4
2.9552,2.6503,5
9.3479,10.49,6
1.3803,9.3005,8
3.0937,8.8305,7
7.4352,9.6468,6
8.8433,9.1156,6
1.484,9.8756,7
1.0796,7.7731,8
0.87481,5.6934,8
1.6182,2.797,1
3.5323,7.3548,7
4.1603,11.871,4
2.4513,8.1772,7
4.3613,8.4031,7
4.4067,8.4442,7
8.6837,6.628,6
1.943,0.31478,1
2.9154,7.5102,7
0.89083,7.7598,8
2.6368,3.4752,5
10.591,10.677,6
1.5371,8.8246,7
-1.615,1.4677,5
1.9907,5.8099,8
0.55928,0.88512,5
8.255,9.6456,2
1.1919,10.32,8
-0.54357,4.9111,3
0.98449,9.3005,8
4.0201,10.245,4
9.3333,7.8415,6
0.38311,8.8114,7
4.5957,4.374,5
3.5805,8.1025,7
4.1047,9.8802,4
-0.67941,7.8285,8
8.6049,6.6917,6
1.7733,9.0589,8
6.7785,9.6821,6
4.2521,10.533,4
3.3478,6.5592,3
8.7998,8.5622,6
-0.40282,1.9816,5
0.71866,1.02,1
8.9676,8.8946,2
2.9915,11.182,4
4.7181,7.5437,4
-0.76579,9.1414,7
0.7072,7.897,8
1.8941,3.086,5
0.58883,4.623,8
5.4169,3.9607,5
-0.56845,6.9883,8
8.5529,8.3581,2
6.119,2.892,5
2.0511,10.259,7
2.068,5.9006,3
2.6452,3.0902,5
7.3785,8.0899,6
9.6849,10.117,6
8.9404,8.6772,2
3.5676,6.5607,3
8.8045,8.9181,2
7.1482,9.8238,2
0.45972,7.508,8
-0.76922,7.4612,7
0.91179,8.6092,8
10.153,6.8268,6
1.2156,9.5493,8
-0.086836,3.8127,1
0.10872,5.1389,3
2.8976,6.3819,3
8.9847,10.321,6
1.3597,8.5233,8
1.2128,2.3965,1
2.2502,6.327,3
3.5204,3.435,5
8.1575,8.0863,6
0.51232,5.5318,3
-0.055494,2.8475,1
3.5176,6.5382,7
4.2654,3.2357,5
0.016128,1.5569,5
7.8643,9.147,2
0.98852,8.4695,7
4.4362,5.7836,7
1.3136,1.2827,1
0.092748,2.4337,5
1.143,5.5414,3
2.4714,2.3442,5
0.41034,8.4,8
3.4504,8.2739,4
7.2942,5.7462,6
1.5401,5.7627,3
-0.55075,4.936,3
8.8692,10.145,6
4.9784,9.6917,4
4.8147,8.7519,7
3.8455,3.2037,5
7.9641,10.312,6
1.0569,8.2948,8
0.21343,10.69,7
7.651,6.7948,6
3.0156,3.0647,5
6.1779,5.0252,5
6.3783,4.8547,5
1.3278,2.7047,5
6.5727,3.508,5
3.3126,7.7601,7
1.1113,8.4881,8
7.4084,7.8267,6
1.8674,9.9496,8
4.7602,3.3758,5
0.5528,3.4777,1
1.3054,8.8515,7
1.1988,2.1009,5
3.5625,7.7285,4
2.7668,8.4629,7
9.6218,12.923,6
10.114,10.623,6
7.0046,5.7127,6
2.4926,3.072,5
1.2296,10.475,8
0.38676,7.8678,8
5.2752,8.0508,4
7.2847,9.8666,2
9.8221,9.1171,6
2.0211,10.383,8
0.63618,2.1719,1
7.5493,6.4749,6
2.6938,5.8753,7
3.6132,8.7438,4
7.9717,10.072,2
1.8378,3.4751,5
4.5415,9.7053,4
4.6878,7.8862,4
2.4338,1.269,5
4.9986,9.0911,4
2.3119,2.4511,5
9.2138,8.7766,6
8.9293,8.8097,2
4.4191,7.1328,7
0.62963,2.6224,1
2.3788,8.6213,7
1.4842,8.8785,7
9.3429,8.8346,2
1.3047,1.0384,1
3.6542,7.1552,7
2.6019,7.6862,7
0.15208,2.5603,1
2.173,6.0164,3
0.87566,8.3765,7
0.97118,5.4884,3
7.9909,9.3883,2
5.2969,12.817,4
8.755,8.7929,6
0.81524,6.5447,8
2.0455,2.8475,5
0.83221,6.6754,8
3.9559,6.6111,7
4.8068,3.7213,5
1.6097,0.28321,1
0.44082,5.3734,3
3.6269,6.4971,3
0.50262,5.4039,3
0.86886,9.4326,8
9.0295,7.4788,6
1.947,5.9701,3
1.4335,5.8969,3
1.997,3.6826,5
2.38,3.3716,5
1.9198,8.5014,8
0.57422,8.2196,7
3.3224,6.5328,7
-0.17677,5.3019,3
8.5264,6.3345,6
5.3213,6.0812,7
3.5699,3.2806,5
1.5882,2.239,5
6.4264,8.4154,2
1.551,5.8349,3
1.2267,2.454,5
1.5637,3.0294,5
0.70601,8.859,8
9.6034,11.21,6
1.6278,8.6684,7
7.3246,6.3409,6
7.3824,9.3835,2
0.65406,7.9617,8
1.1975,0.51917,1
0.99757,0.30823,1
0.39195,3.6635,1
-0.44227,4.9761,3
2.7765,6.0798,3
1.339,5.7831,3
2.96,6.334,3
7.3465,7.2496,6
2.9281,7.1878,7
11.998,10.918,6
4.6567,8.5921,7
0.80237,9.1798,8
2.9267,2.3444,5
1.1023,1.5112,1
5.212,3.9357,5
1.2252,9.2575,8
7.8229,5.6753,6
2.2839,7.5974,8
-0.99189,7.6713,7
2.9809,8.536,7
1.4893,6.8429,7
2.9994,7.4767,4
1.7474,0.45802,1
7.3641,9.7395,2
0.26145,6.389,8
11.769,12.062,6
9.2998,8.7654,6
-0.99937,1.1814,5
0.097492,5.8685,8
8.2807,9.6676,6
5.7912,6.4914,6
1.482,7.962,8
9.6563,11.778,6
1.5252,2.1188,5
4.4545,9.1463,7
7.8628,5.1001,6
4.5692,9.9485,4
1.6129,1.6924,1
1.3557,1.6114,1
2.2204,9.355,7
3.1482,7.7142,7
3.0186,8.4545,7
-0.1175,8.5274,8
0.56569,5.3755,3
4.767,8.5323,4
0.51286,5.6041,8
5.0122,9.1393,4
2.5464,8.4019,7
4.904,6.2846,6
7.858,9.6642,2
0.77852,6.8803,8
1.3935,5.6849,3
1.5799,6.6224,8
2.0035,9.0815,7
0.17999,9.4741,7
0.94487,8.0272,7
4.9603,3.2023,5
1.1407,10.888,8
4.6026,4.3551,5
1.1038,0.88144,1
3.1542,3.0974,5
8.9283,9.7286,2
0.51022,6.3018,8
0.96158,1.8401,1
8.8208,8.281,6
1.1428,7.5161,8
-0.0070924,8.4835,8
4.0994,9.4347,7
8.192,8.555,6
3.6618,8.2962,7
4.4266,7.7223,7
1.876,3.5321,5
8.7409,9.8336,2
0.85273,7.5795,8
2.2823,9.8062,7
1.7282,9.7691,7
2.1194,2.0895,5
1.1981,5.6861,8
0.76285,7.483,8
0.71326,5.2829,3
1.5956,3.2045,5
4.1799,9.1688,4
4.2831,6.6825,3
7.9678,8.5459,2
4.6005,7.1977,7
7.1348,5.0448,6
4.4956,3.8264,5
5.4883,3.9311,5
0.78853,2.0174,1
2.1568,5.8176,3
6.5274,8.8284,4
4.5842,3.7932,5
0.81051,6.5198,8
4.597,12.344,4
0.28051,1.791,1
2.9533,8.0306,7
10.193,9.2593,2
3.6002,7.7516,7
1.476,3.1674,5
4.1681,8.1576,4
1.364,5.6318,3
1.4143,5.3236,8
1.1424,6.2614,8
0.34371,6.5474,8
8.8588,9.6212,2
8.5618,9.9029,2
1.1845,1.7599,5
-1.0862,10.239,7
6.153,6.5648,6
0.77751,8.2501,8
1.3137,9.1054,8
0.21924,7.6629,8
9.9134,10.962,6
4.1652,8.798,4
6.2018,4.5107,6
0.77322,6.3258,8
5.9876,4.4555,5
7.0147,6.5611,7
9.1373,9.138,6
0.75925,10.017,8
9.0583,10.055,2
5.4547,7.0424,6
8.8674,10.097,2
2.5242,8.6767,7
8.9794,9.3186,2
0.58354,8.8212,8
0.98512,1.9288,1
-1.4819,4.7395,3
10.867,9.8451,6
8.7545,9.4377,2
2.8967,9.2172,8
0.51485,8.8993,8
2.8675,6.225,4
3.9169,7.9313,7
2.533,8.0046,7
1.1286,3.3157,5
2.4375,8.3066,7
4.7896,10.166,4
0.16549,8.741,8
-0.045556,10.591,7
8.5409,9.4405,2
8.7698,9.2179,2
4.9075,5.632,6
3.6769,3.249,5
2.628,3.5274,5
2.6331,6.1306,8
5.2307,8.9731,4
1.0399,2.4809,1
4.0167,8.7459,4
2.3072,8.6588,7
1.0009,8.0916,8
0.54444,1.716,1
1.207,6.9152,8
2.1566,2.1932,5
0.13909,9.9785,7
4.337,7.7914,7
0.10162,2.1201,1
0.96011,2.3731,1
8.2524,9.9584,2
0.87102,8.6617,7
-0.47482,5.26,3
4.8853,8.1191,4
0.4958,7.4679,8
7.8331,7.7645,6
4.0511,8.554,7
9.0913,9.202,2
1.1078,2.3415,5
6.4731,3.7089,5
0.92466,8.4202,8
1.8974,2.4789,5
0.93444,5.2657,3
3.7317,7.252,4
0.71069,8.3683,8
1.218,1.2958,1
7.6838,9.8283,2
1.3416,6.8168,8
0.78416,6.1712,8
1.5301,7.1923,8
-0.33603,2.3242,1
2.2182,8.3753,7
8.2421,9.1639,2
8.5054,9.0966,2
4.6085,3.604,5
2.2568,5.9172,3
0.72665,7.1198,8
5.8379,8.663,6
7.62,8.7469,2
9.2165,10.905,6
5.6155,8.9536,6
0.80369,6.9022,8
8.7036,8.811,6
3.2925,8.7485,7
8.4191,8.8078,6
2.7043,9.5225,4
1.3274,5.7079,3
0.11613,7.9536,8
0.1594,6.7792,8
2.4343,2.7383,5
1.369,5.7031,3
1.103,7.4093,8
5.4066,7.7263,7
8.3719,9.4634,6
1.6738,8.9711,8
3.4847,8.1997,7
7.3179,8.401,6
8.7049,8.8296,6
10.042,9.4182,6
1.6447,9.7834,8
0.9705,1.3305,1
1.5852,1.6128,1
7.8458,6.544,6
1.4049,1.9683,5
1.9134,7.6621,7
3.7656,7.0132,7
3.0658,5.7023,4
6.5285,4.8817,6
3.0819,6.3906,7
1.5425,5.8188,3
-0.2116,8.3137,8
7.7246,6.3439,6
8.276,12.435,6
8.0817,9.5095,2
-0.1726,1.7699,1
3.5031,2.9076,5
1.4787,6.0248,3
3.9633,4.2174,5
0.78175,6.9712,8
8.2636,8.6087,2
0.81741,8.5295,8
4.2888,3.2814,5
1.725,8.6642,8
5.681,5.6747,6
5.515,3.7515,5
4.1806,4.2618,5
1.5978,6.3164,8
8.534,10.045,2
7.8241,9.4063,2
-0.070027,8.5428,8
2.6168,3.3357,5
1.4581,10.141,8
1.3171,9.0638,8
6.8377,7.7021,6
2.8359,5.7672,7
8.0691,7.525,6
2.9605,9.3263,7
8.466,10.053,2
0.64893,5.1346,8
6.4452,8.9466,6
2.8767,2.8117,5
5.5208,7.076,6
2.6928,8.7877,7
7.7046,11.003,6
0.68628,1.8224,1
1.2108,9.141,8
1.0708,7.9736,8
7.8977,9.4816,2
-0.042567,7.543,8
1.6151,9.9392,8
5.6804,8.2686,7
2.3856,3.776,5
1.3201,0.61383,1
6.2737,8.0987,6
2.134,5.7366,3
0.73972,7.908,8
8.4884,9.625,2
0.25728,7.4406,8
1.4476,2.0952,1
2.8073,8.0447,4
9.0582,8.7607,2
1.2874,7.2283,8
10.203,10.086,6
2.936,8.8033,7
5.2335,6.1579,7
1.6595,9.2748,8
8.1974,3.3344,5
1.5354,3.092,5
2.8967,3.2352,5
3.6033,10.86,4
1.1927,8.5262,7
-0.015915,1.3345,5
2.3836,7.4852,7
7.9784,7.4222,6
1.6007,1.7478,1
9.1559,7.8968,6
1.2894,6.7886,8
4.6941,7.4653,7
1.3023,2.6353,1
4.1333,8.6717,7
8.1574,8.2218,2
1.4989,7.8887,8
8.3822,9.3841,6
4.2953,10.06,4
4.3087,8.2534,4
10.434,12.252,6
1.7309,6.0655,8
-0.78712,9.3165,7
3.5089,6.8947,7
-0.046016,8.099,8
3.5685,9.6577,4
2.7126,2.4068,5
8.8766,8.501,2
0.92924,5.596,3
6.3977,7.7775,6
0.21777,5.8047,8
4.0963,8.3552,7
1.7911,5.7332,3
0.49986,6.8815,8
0.040712,7.3151,8
5.4136,3.579,5
4.8263,9.7796,4
3.4007,6.4987,7
2.1204,2.6828,5
5.2334,7.9751,6
0.87947,9.4478,8
7.0631,9.688,2
1.351,8.5108,8
3.84,9.155,4
0.83958,8.6622,8
2.9365,3.7701,5
2.8159,6.4233,3
2.8182,4.3837,5
8.2028,9.3062,2
2.8342,2.5598,5
0.13633,2.0195,5
0.51792,6.5647,8
-0.33873,1.522,5
0.61397,3.1372,1
6.0155,10.785,4
7.3603,9.4032,2
2.1357,8.3618,8
8.0972,4.6152,6
2.7157,9.2322,7
2.9932,3.2082,5
7.7128,8.5583,6
8.3325,8.5807,6
9.1408,10.551,6
1.2023,8.8603,7
0.31361,1.6468,5
-0.60507,5.1446,3
8.2691,10.049,2
10.657,11.779,6
7.1038,9.4983,2
6.7409,8.7235,6
2.2109,5.6863,8
2.0791,6.0556,3
4.2125,4.376,5
0.81032,6.3283,8
0.5472,7.4347,8
0.99536,8.1204,8
0.4379,7.0932,8
3.1769,2.1495,5
7.2297,8.391,6
-0.04642,5.4176,3
0.47106,9.9039,7
0.86497,7.951,8
8.385,5.4211,6
2.7228,6.2852,3
8.5085,8.3151,2
0.47158,8.9597,8
0.96565,0.81412,1
4.2084,3.3032,5
3.8586,11.641,4
0.27679,8.0301,8
0.43756,8.5064,8
9.037,7.9451,2
6.8215,7.665,6
3.1513,2.0436,5
5.1926,7.2328,7
-0.017981,5.2221,3
0.92015,9.1739,7
4.0089,8.0565,7
1.5315,8.3919,7
3.822,9.385,4
7.8815,10.002,2
4.1866,3.8435,5
3.552,4.209,5
