Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.48410323402668254, 0.466865442950161, 0.48333163998416956, 0.0, 
0.6077734168608957, 0.613454265806731, 0.6069936841935499, 0.0, 
0.5500697231500298, 0.5627027852576809, 0.5547014197671711, 0.0, 
0.5161753066435536, 0.5107237730605664, 0.5157104919590001, 0.0, 
0.5191956787695322, 0.5243152279890425, 0.5224347540580206, 0.0, 
0.5123358212894576, 0.5273798609475807, 0.5130487069891673, 0.0, 
0.4999295438066938, 0.49940242163774795, 0.49914511400003114, 0.0, 
0.5072909543918283, 0.5229049727469499, 0.5107534824631262, 0.0, 
0.5100029409094009, 0.4899643157098471, 0.5076873397982055, 0.0, 
0.5038344056681947, 0.48845849566206323, 0.5029192270907353, 0.0, 
