Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5361924338002064, 0.5024982906685567, 0.5269674610829747, 0.0, 
0.5385553512890763, 0.5179619950531542, 0.5282416410192416, 0.0, 
0.560465198216472, 0.5154638167379724, 0.5414659597359682, 0.0, 
0.5614485929415456, 0.525541919427412, 0.5523829626139666, 0.0, 
0.5349410575393417, 0.5157805010506739, 0.5214134627198033, 0.0, 
0.5798787061213707, 0.5585439780329932, 0.5695122228963043, 0.0, 
0.5295970164825847, 0.5130856680302157, 0.526535709218705, 0.0, 
0.5353700394504299, 0.4832617000418834, 0.5212566361686777, 0.0, 
0.5063772430479426, 0.4691639023412552, 0.49065645578650596, 0.0, 
0.5581168584853863, 0.5106086707153286, 0.5447757594319559, 0.0, 
