Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.4842341318332989, 0.4538936401019535, 0.4824974167710307, 0.0, 
0.5973281505335976, 0.6290002841763646, 0.5956348075251031, 0.0, 
0.5542397743631938, 0.5444118237323402, 0.5549149567321826, 0.0, 
0.5128141701566065, 0.49641622303750466, 0.516433277752546, 0.0, 
0.5305724325517972, 0.5259676968845759, 0.5374548547931796, 0.0, 
0.5300593910372426, 0.5380432008516189, 0.5322483020786369, 0.0, 
0.486020318707314, 0.4782902131312033, 0.48731593343963736, 0.0, 
0.5212614080436674, 0.5298839879344429, 0.524138964645729, 0.0, 
0.49657153530512677, 0.4841145749512107, 0.49246266698736585, 0.0, 
0.5587455779082827, 0.5381300986902748, 0.5587450058967214, 0.0, 
