Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.4767974824787166, 0.42440643585786963, 0.4786016682451774, 0.0, 
0.5523925997520368, 0.5522021637203282, 0.5531979530914978, 0.0, 
0.5500697231500298, 0.5627027852576809, 0.5547014197671711, 0.0, 
0.4465942707100591, 0.43638902187591433, 0.4480366315408417, 0.0, 
0.5150729002529212, 0.4961221509054616, 0.5089134203541711, 0.0, 
0.5123358212894576, 0.5273798609475807, 0.5130487069891673, 0.0, 
0.4805675162534449, 0.4889790877389066, 0.4798861821365811, 0.0, 
0.5095538225251702, 0.5243690311527971, 0.5129382543222336, 0.0, 
0.5002450085424922, 0.4650365445917652, 0.501391141599455, 0.0, 
0.5027366535683795, 0.48907622195454875, 0.5008843443859412, 0.0, 
