Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.578870243814432, 0.5192300706071268, 0.5374920758932864, 0.0, 
0.5781877595628627, 0.5327324397736055, 0.53524608350967, 0.0, 
0.5992427446046962, 0.513074001404108, 0.5559937610371904, 0.0, 
0.612623997397103, 0.511860884343801, 0.5778922249309222, 0.0, 
0.5771979056907137, 0.5396425236400108, 0.547750602391663, 0.0, 
0.5934105167092963, 0.5013462094168705, 0.5491149802484155, 0.0, 
0.586287678880981, 0.4923628471335256, 0.5388963920110678, 0.0, 
0.5332283576258201, 0.4666863870224807, 0.4835496693890272, 0.0, 
0.5817901603765523, 0.5174780357491024, 0.5362621729164301, 0.0, 
0.5511841815162694, 0.4738478874752874, 0.506095541402382, 0.0, 
