Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5660724808536151, 0.5798472136226986, 0.5696491550108931, 0.0, 
0.4904996457901444, 0.5133661098036081, 0.4903258087522427, 0.0, 
0.4567492285502317, 0.4491044327829347, 0.4642486963830705, 0.0, 
0.517975317471323, 0.516591178353566, 0.5228384128248287, 0.0, 
0.6330537117466234, 0.6518673039486519, 0.6379907204623981, 0.0, 
0.5186701480478269, 0.5206209132117154, 0.5211626841012651, 0.0, 
0.5287487085279663, 0.5259844912535734, 0.5301380274383195, 0.0, 
0.5443445470597316, 0.54019940964991, 0.5480187876027748, 0.0, 
0.6264070313714315, 0.6397080628936737, 0.6303539592305425, 0.0, 
0.560890645222135, 0.5785564646431863, 0.5587965056536431, 0.0, 
