Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.583869470024759, 0.5047813008909341, 0.5787694104296822, 0.0, 
0.5824832474307563, 0.4961590331132067, 0.5704888416731614, 0.0, 
0.5617218338040947, 0.4640875725586592, 0.555946202204658, 0.0, 
0.578444780571347, 0.5028524951228224, 0.5656589137708027, 0.0, 
0.5597016047485439, 0.469728594774894, 0.5479019838613736, 0.0, 
0.5934668950011177, 0.5310994442588586, 0.5828502535988829, 0.0, 
0.5859629761397683, 0.5186393017660546, 0.5743053430768009, 0.0, 
0.6980567749207224, 0.2107087398162526, 0.6141818505376296, 0.0, 
0.5766845799707315, 0.49087263483930726, 0.5615991175814183, 0.0, 
0.5692318692637758, 0.5317510324666347, 0.5475221037642451, 0.0, 
