Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5726148258951765, 0.5149315466491736, 0.5278180463048793, 0.0, 
0.6194613549551463, 0.5440208984899407, 0.585690310118963, 0.0, 
0.601657882274457, 0.5459669054727545, 0.56033957479655, 0.0, 
0.5751364027174554, 0.499437160559182, 0.5230210952730818, 0.0, 
0.5778555623041698, 0.5384839875660983, 0.5339310195564675, 0.0, 
0.6011451456912009, 0.47367892538585543, 0.5573902179622384, 0.0, 
0.5676855977748102, 0.5250467823350103, 0.5212440969336076, 0.0, 
0.5518817135275393, 0.4761049139176999, 0.5032291259471151, 0.0, 
0.585590598506203, 0.5178677288723273, 0.5196950289762021, 0.0, 
0.590746432537908, 0.49105811498195473, 0.539318032762955, 0.0, 
