Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.4997433088398055, 0.5414028118798326, 0.5021517253049445, 0.0, 
0.44964553113682715, 0.46821001299916654, 0.45427665206619927, 0.0, 
0.5035115919385174, 0.4990141324311349, 0.5001208121676093, 0.0, 
0.5468280634849855, 0.5342627812470502, 0.5434203778748598, 0.0, 
0.5078748178170097, 0.4853046629019998, 0.505066376923796, 0.0, 
0.5708306728840692, 0.5622575839751082, 0.5683464041139045, 0.0, 
0.44227696612025874, 0.44177685327142774, 0.43833983666794124, 0.0, 
0.528355887161811, 0.5234556062484462, 0.5227937292561061, 0.0, 
0.4834184098734332, 0.4905984861725288, 0.4820787139751048, 0.0, 
0.5458228339080573, 0.5261678794731764, 0.5463249949383051, 0.0, 
