Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5917974042493523, 0.5138586999465484, 0.5462438939766288, 0.0, 
0.5760188928718795, 0.48640805146616845, 0.5316576395648823, 0.0, 
0.5836870825766461, 0.4856825677969092, 0.5418101433907632, 0.0, 
0.5799980786320603, 0.48716044468338704, 0.5379737064897002, 0.0, 
0.5821892812305811, 0.4901176435249192, 0.5391165399949501, 0.0, 
0.5724100985637272, 0.48906158586734527, 0.5245517087176701, 0.0, 
0.5882158467878927, 0.4961341349494702, 0.5459141148521917, 0.0, 
0.578526241753003, 0.4663228637489146, 0.535646351890995, 0.0, 
0.5668389346265307, 0.4677081417708335, 0.5188853978025633, 0.0, 
0.5912074716737632, 0.4933678221451093, 0.5481775681386377, 0.0, 
