Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5660724808536151, 0.5798472136226986, 0.5696491550108931, 0.0, 
0.5473525606209749, 0.5497317582814866, 0.5495471192479128, 0.0, 
0.5083588116729231, 0.5169810456434306, 0.5125808521597368, 0.0, 
0.517975317471323, 0.516591178353566, 0.5228384128248287, 0.0, 
0.5105344858620523, 0.4944301987191305, 0.513527369, 0.0, 
0.5186701480478269, 0.5206209132117154, 0.5211626841012651, 0.0, 
0.5088304447121027, 0.5073767042116749, 0.511883974500308, 0.0, 
0.5443445470597316, 0.54019940964991, 0.5480187876027748, 0.0, 
0.49339359385864134, 0.4794384096832076, 0.4952612950139749, 0.0, 
0.5132396197698164, 0.5068541335682869, 0.5154137809890266, 0.0, 
