Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.4906921743657572, 0.4678565994642955, 0.45720736372226767, 0.0, 
0.6003482195343772, 0.5912212379059536, 0.5791977225131749, 0.0, 
0.5844932883580618, 0.5542968305881749, 0.5666396388527886, 0.0, 
0.5259646349073281, 0.4893912914837052, 0.49538022041181423, 0.0, 
0.568932587771142, 0.5406661032748686, 0.5500721326992924, 0.0, 
0.5476597023856302, 0.5252996971698575, 0.5158867582913111, 0.0, 
0.5504642905184502, 0.5072693463870455, 0.5284860878121556, 0.0, 
0.5590370914160079, 0.5327982992049551, 0.5367973275638592, 0.0, 
0.522964550083285, 0.4723989127929748, 0.493567397426123, 0.0, 
0.5985305410410795, 0.5629077792880626, 0.577195927893807, 0.0, 
0.5225217962419568, 0.46413617710543387, 0.4904755518374102, 0.0, 
0.5720547358714266, 0.5382493761613647, 0.5336108773589634, 0.0, 
0.5614124497751366, 0.5533219046954141, 0.5391366254633474, 0.0, 
0.5599626773501785, 0.5172250957944927, 0.5278549010436423, 0.0, 
0.5198360517595692, 0.49103964889115603, 0.4826063564063777, 0.0, 
0.5694996865726026, 0.49035530586370574, 0.54815704363491, 0.0, 
0.515273170596128, 0.4748287281508779, 0.49043779983323593, 0.0, 
0.628236611114986, 0.5527817978644577, 0.5963135909590527, 0.0, 
0.5356168140342868, 0.5065604313568073, 0.5123472098828675, 0.0, 
0.6285092791118646, 0.5371072211268688, 0.6167778237516209, 0.0, 
0.5745636343884669, 0.5148975234569088, 0.5485491125656133, 0.0, 
0.6015343869773618, 0.561551481814454, 0.5771532960537952, 0.0, 
0.509674729790424, 0.4253543456776199, 0.5009425826314855, 0.0, 
0.5625354254824348, 0.5458253189892535, 0.549258156799022, 0.0, 
0.5244060737121642, 0.43300553050147456, 0.5004304048538126, 0.0, 
