Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.7058573450884136, 0.5500619331660397, 0.6192954209933437, 0.0, 
0.6816942729751146, 0.4593641852432895, 0.5975572144522387, 0.0, 
0.6906506692584735, 0.4716310194705103, 0.6026323831465284, 0.0, 
0.6355398914413245, 0.4219717569841514, 0.5300113046641519, 0.0, 
0.645420072843131, 0.443541180357417, 0.5456316280954027, 0.0, 
0.7337639751034626, 0.5396645536290746, 0.6587228062700081, 0.0, 
0.7525100182657242, 0.5766224004534123, 0.6807298820209018, 0.0, 
0.681482777368832, 0.4505858137316376, 0.5943568646212948, 0.0, 
0.6954728081503811, 0.49984757579723843, 0.6073699229284693, 0.0, 
0.7135873774008062, 0.47396162765222893, 0.6258923558750293, 0.0, 
0.714578804618766, 0.5417407942431516, 0.6315255650037985, 0.0, 
0.6911251813008257, 0.4780992363835197, 0.6006300331534294, 0.0, 
0.6685290680117899, 0.4951271661525377, 0.5686203155973422, 0.0, 
0.8242727179600066, 0.7694139473228334, 0.7755106940247399, 0.0, 
0.6884976265591533, 0.41779571077597005, 0.5960776394212891, 0.0, 
0.666605594288659, 0.45645111124450094, 0.5737395731414434, 0.0, 
0.6744592527724712, 0.467562546180766, 0.591599784289704, 0.0, 
0.6754855808661568, 0.4500520480801218, 0.5798034888317832, 0.0, 
0.6454305021360441, 0.43745263491189623, 0.5484041743611194, 0.0, 
0.7745223677078689, 0.6466916773045065, 0.7070588023502193, 0.0, 
0.6828814749703433, 0.47068159842866975, 0.5898702616504614, 0.0, 
0.6819135798734751, 0.4736694462773816, 0.590273305338446, 0.0, 
0.7272060087432697, 0.5392452167196945, 0.6460689282939376, 0.0, 
0.6607469662927565, 0.43061260958328307, 0.5677436568850712, 0.0, 
0.7399947015923591, 0.5400309927483705, 0.6613527838054264, 0.0, 
