Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9377622031618813, 0.5460354589114078, 0.8269875549301265, 0.0, 
0.9433050284494024, 0.6391311054853248, 0.8569058388115905, 0.0, 
0.9416844914393872, 0.6006444498400776, 0.8460719983576995, 0.0, 
0.9365964612941782, 0.5214110427380598, 0.8196454477385072, 0.0, 
0.9332400658750013, 0.4960966999588105, 0.8079067128934605, 0.0, 
0.9278964269634369, 0.6078475734924869, 0.8190568799723481, 0.0, 
0.9338391020747256, 0.4985593389613647, 0.8093192011650976, 0.0, 
0.9305721717569128, 0.5454206827665194, 0.8133930295803322, 0.0, 
0.9344490756544206, 0.5279454390161984, 0.8167972127018915, 0.0, 
0.9352349188295053, 0.5215518273979463, 0.8182108895205498, 0.0, 
0.94538301796328, 0.6452343775946128, 0.8601447093522631, 0.0, 
0.9475878294284533, 0.6571860690548785, 0.8660519211236963, 0.0, 
0.9373791139246819, 0.5416215934653695, 0.8254320483087741, 0.0, 
0.9389579606856309, 0.5425916287698375, 0.8277299722775273, 0.0, 
0.9412599183828859, 0.573694994620327, 0.8389391380108353, 0.0, 
0.9445018280050301, 0.5987947717324438, 0.8513728701413301, 0.0, 
0.9451909194433323, 0.6089162530012472, 0.849322085601423, 0.0, 
0.9403781411506196, 0.5625251417268832, 0.8353314011676738, 0.0, 
0.9475985549055909, 0.6703840218398538, 0.8693420326120682, 0.0, 
0.9350643356025397, 0.5643968286594166, 0.8257622888664208, 0.0, 
0.9368295380678083, 0.5461951253747979, 0.8244022131515225, 0.0, 
0.9324329860584375, 0.48921114654673586, 0.804625961075273, 0.0, 
0.9413922234998272, 0.5975621054754584, 0.8432041002338153, 0.0, 
0.9293424990845927, 0.4992844781456293, 0.8036002226585852, 0.0, 
0.9360688067375462, 0.5565217667462914, 0.825665850230474, 0.0, 
