Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5197281476918444, 0.41526656205298956, 0.4946896269851835, 0.0, 
0.5674724611918329, 0.5257420333213312, 0.5569968862292539, 0.0, 
0.5844932883580618, 0.5542968305881749, 0.5666396388527886, 0.0, 
0.5529727985406827, 0.4986958047478289, 0.5218066092095606, 0.0, 
0.5854704097105955, 0.5529282940629148, 0.5578069243450212, 0.0, 
0.5476597023856302, 0.5252996971698575, 0.5158867582913111, 0.0, 
0.5601483856787352, 0.49553708430155063, 0.5425424997211141, 0.0, 
0.5517157451765773, 0.5337034836479518, 0.5291053971057651, 0.0, 
0.5375853293299577, 0.4462039865520743, 0.5170120713742441, 0.0, 
0.5337552244834892, 0.4843106835840827, 0.5066039910098752, 0.0, 
0.47290287501178707, 0.4354894247661412, 0.45690293199418547, 0.0, 
0.5546925983999732, 0.5175528101322403, 0.5353161661937538, 0.0, 
0.5212515022612085, 0.4832980936960064, 0.5023123877697677, 0.0, 
0.5911571736233271, 0.5297327294501165, 0.5738546933159993, 0.0, 
0.5967964082171376, 0.5587080236124871, 0.5523401271357545, 0.0, 
0.49583043963822654, 0.39768931322332957, 0.48155536452480985, 0.0, 
0.5080375846142409, 0.47109534360774163, 0.4835632248553052, 0.0, 
0.628236611114986, 0.5527817978644577, 0.5963135909590527, 0.0, 
0.4679330560243633, 0.4464562958149969, 0.4471349483239867, 0.0, 
0.6285092791118646, 0.5371072211268688, 0.6167778237516209, 0.0, 
0.5288380290235014, 0.4584740653190648, 0.499311492461078, 0.0, 
0.6015343869773618, 0.561551481814454, 0.5771532960537952, 0.0, 
0.509674729790424, 0.4253543456776199, 0.5009425826314855, 0.0, 
0.5391055485438982, 0.47118528493942574, 0.5174553544037533, 0.0, 
0.5208725557397962, 0.4281270205630303, 0.4966167210770293, 0.0, 
