Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9919120801720854, 0.6563163406068301, 0.9433845612045973, 0.0, 
0.9970693952419312, 0.8959456300092348, 0.9794857666935194, 0.0, 
0.9930725810772446, 0.849127460938053, 0.9515080675407106, 0.0, 
0.9918899652543788, 0.6510347937301133, 0.943229756780651, 0.0, 
0.9951641207665535, 0.8911570245764731, 0.9661488453658742, 0.0, 
0.9945708840196795, 0.796389777267723, 0.9619961881377562, 0.0, 
1.0, 0.5049751243781094, 1.0, 0.0, 
0.9916799580284331, 0.7086595785487133, 0.9417597061990312, 0.0, 
0.998109731950909, 0.4662784453916648, 0.9867681236563637, 0.0, 
0.9992676808650358, 0.4860727758648925, 0.9948737660552502, 0.0, 
0.9962115096142948, 0.8749006299921078, 0.9734805673000644, 0.0, 
0.9913211173721951, 0.7315996823910247, 0.9392478216053644, 0.0, 
0.9999108629221499, 0.5023245853603241, 0.9993760404550491, 0.0, 
0.9966354040529859, 0.911177708528727, 0.9764478283709036, 0.0, 
0.9929301277265361, 0.7547288691531393, 0.9505108940857528, 0.0, 
0.9973398492579224, 0.9179230980991941, 0.9813789448054578, 0.0, 
0.992919564126802, 0.8016301000859057, 0.9504369488876143, 0.0, 
0.9963755640363472, 0.8858735586679884, 0.9746289482544306, 0.0, 
0.9963944363806504, 0.8721891674467002, 0.9747610546645532, 0.0, 
0.989921996748929, 0.7029741853957193, 0.929453977242503, 0.0, 
0.9967083084611705, 0.9180235244693867, 0.9769581592281932, 0.0, 
0.9924430573493446, 0.8015967437891934, 0.9471014014454117, 0.0, 
0.9910154401416077, 0.644790992513068, 0.9371080809912535, 0.0, 
0.9938844123603024, 0.8920474171768826, 0.9571908865221183, 0.0, 
0.9940656156323799, 0.7864478848625462, 0.9584593094266602, 0.0, 
