Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5208183370022269, 0.4814962200170715, 0.5130871489137608, 0.0, 
0.5688792535775226, 0.5110773959731449, 0.5604073981996455, 0.0, 
0.596267727046394, 0.5314617557637578, 0.5898646009793134, 0.0, 
0.5163438141743365, 0.48435844584557675, 0.5069953698322721, 0.0, 
0.5484324646854651, 0.49647112535253474, 0.5515724625593726, 0.0, 
0.5758471938484337, 0.5560331972750792, 0.5823484371100243, 0.0, 
0.4775632720893923, 0.44667315316224315, 0.4777093263446126, 0.0, 
0.5679657902301943, 0.536284753895221, 0.5697630881988515, 0.0, 
0.4762950187581248, 0.45439778252235247, 0.47924644779416026, 0.0, 
0.498128411854601, 0.4849176866403157, 0.49786702120136406, 0.0, 
