Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.45518024152567615, 0.46130587573765375, 0.4572301187158581, 0.0, 
0.4868797263661171, 0.5091860633851909, 0.48497678112813364, 0.0, 
0.45157700266471795, 0.4753385971712269, 0.45298740436389934, 0.0, 
0.5336472898353395, 0.5309362270381488, 0.5312704762386234, 0.0, 
0.46915717512123384, 0.4678368161945914, 0.47271364150352724, 0.0, 
0.5229961516078495, 0.5176319119144629, 0.5236187103458542, 0.0, 
0.48207946306252225, 0.4938019881752796, 0.48008160395672933, 0.0, 
0.470001903025913, 0.47328938717736235, 0.46697077091394457, 0.0, 
0.5237973309758299, 0.5347956735722328, 0.5194778547759211, 0.0, 
0.45282447335531745, 0.4714199136352184, 0.4614308387585034, 0.0, 
