Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.525376003651573, 0.5345946527650492, 0.5059444801827928, 0.0, 
0.50581701869938, 0.45189865977401333, 0.5016004473907745, 0.0, 
0.5408549157940623, 0.4170852588605869, 0.511887800091156, 0.0, 
0.624016141996671, 0.5991795454572683, 0.6087353351073014, 0.0, 
0.5480308231909921, 0.4720112489614644, 0.5040683290354879, 0.0, 
0.5355168672182032, 0.5156061895795523, 0.5281411309601736, 0.0, 
0.5936102595326483, 0.5689385323467424, 0.5815798393316307, 0.0, 
0.5515769093530241, 0.5163824938354078, 0.537660222668926, 0.0, 
0.6194871891549482, 0.5896124094219742, 0.602415720822293, 0.0, 
0.5132052028035223, 0.5053618578322336, 0.4877322092639086, 0.0, 
