Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5921504401986838, 0.5532386859269977, 0.5482681912790719, 0.0, 
0.5769150070881274, 0.5030878999492792, 0.5301959446879153, 0.0, 
0.5666210722738304, 0.49962519152859564, 0.4939309510625735, 0.0, 
0.5640363349809461, 0.4559515539936345, 0.504481492851548, 0.0, 
0.5308290131192047, 0.47173234251424184, 0.47465670559247186, 0.0, 
0.6514986616483461, 0.6606453146671863, 0.6203449821276127, 0.0, 
0.6023127072155671, 0.5287040190909856, 0.5724175860316774, 0.0, 
0.5945220821216625, 0.5990211340512474, 0.5432787434355838, 0.0, 
0.5841358950126977, 0.4997091645766993, 0.5575309420478796, 0.0, 
0.5462535274443123, 0.4617995989139213, 0.4860618858479972, 0.0, 
