Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9962921037318806, 0.9837119189613619, 0.9896165256382772, 0.0, 
0.9748135830647424, 0.8638622396754784, 0.9167887180335618, 0.0, 
0.9905192914735963, 0.9818958090513483, 0.9821817254235091, 0.0, 
0.9857915000600723, 0.9326182014068364, 0.9540300978758377, 0.0, 
0.9943115384952587, 0.9867497929681002, 0.9881205152708598, 0.0, 
0.9796364440256888, 0.9088613215893744, 0.9414047946436757, 0.0, 
0.9667552959173394, 0.8500490999830325, 0.9026999183745642, 0.0, 
0.9945092361291491, 0.978421718221114, 0.9877481457412759, 0.0, 
0.9934933024609703, 0.9712681480330814, 0.982882092172183, 0.0, 
0.9636842382478703, 0.8212070860651487, 0.8877230812781625, 0.0, 
