Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.48246042844778786, 0.4401408921961671, 0.46584255527765656, 0.0, 
0.47691410083422137, 0.4437357629650803, 0.4643539296951649, 0.0, 
0.49225935600563153, 0.4690909745524034, 0.4877717347444977, 0.0, 
0.519459605804165, 0.5070297607634585, 0.5155967583569913, 0.0, 
0.48430683353513165, 0.4710131723482424, 0.4587627896694414, 0.0, 
0.5111372134377894, 0.5069357603694821, 0.5092948966160957, 0.0, 
0.5057824470121821, 0.49963055011871127, 0.503358772656434, 0.0, 
0.5272811627255521, 0.518505074191106, 0.5153229614951136, 0.0, 
0.48412049257199374, 0.4407045744978978, 0.4736088028814106, 0.0, 
0.5044470541124336, 0.45211068331743676, 0.4940190910425048, 0.0, 
