Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.4506219741616415, 0.4503510945490169, 0.45311395130122717, 0.0, 
0.5606804861066732, 0.5414659507913738, 0.5615446992575609, 0.0, 
0.5867344741144337, 0.6311144994193725, 0.5886391205868433, 0.0, 
0.455373571322099, 0.4660404143526713, 0.46425718881959877, 0.0, 
0.4747503588530885, 0.4982591184845287, 0.47898614671792833, 0.0, 
0.4704480326827321, 0.49037335016289924, 0.4697172796560386, 0.0, 
0.49074684290734794, 0.4928460136755705, 0.49296379056084205, 0.0, 
0.49906413338182865, 0.5060120127355554, 0.5023369779226172, 0.0, 
0.4721363040123021, 0.49301391881588663, 0.4740452489138882, 0.0, 
0.5330010024494225, 0.5426187995143652, 0.5241455915241897, 0.0, 
