Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9969311071555489, 0.9885192596290707, 0.9911943621196784, 0.0, 
0.9753450660371952, 0.8652966427075629, 0.9175355971143222, 0.0, 
0.9911809830158853, 0.9868958090513491, 0.9838483920901763, 0.0, 
0.9862457553712686, 0.9356973545553506, 0.9549832824697547, 0.0, 
0.995152012671339, 0.9916482644434641, 0.9902585820608988, 0.0, 
0.981806350773064, 0.9134912936983988, 0.946844715634552, 0.0, 
0.9674857974911633, 0.8554164150993001, 0.9045998293061134, 0.0, 
0.9948137917284284, 0.9803001105642172, 0.9888789972014438, 0.0, 
0.9940857002939948, 0.975694777153218, 0.9842799627523787, 0.0, 
0.9643664679551316, 0.8264258570511629, 0.8894775551882637, 0.0, 
