Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.4833104348097557, 0.47614151349959716, 0.4899070871177325, 0.0, 
0.495652778102252, 0.5052701665892491, 0.5009212999856876, 0.0, 
0.5035115919385174, 0.4990141324311349, 0.5001208121676093, 0.0, 
0.5468280634849855, 0.5342627812470502, 0.5434203778748598, 0.0, 
0.5230110802697472, 0.5214692624177668, 0.5306210015767316, 0.0, 
0.5708306728840692, 0.5622575839751082, 0.5683464041139045, 0.0, 
0.5128848413548333, 0.5125551830487982, 0.5258465997305153, 0.0, 
0.5082290447360379, 0.5106387104871494, 0.506378288385657, 0.0, 
0.4953591023445985, 0.4918383976438196, 0.4940865288680489, 0.0, 
0.5458228339080573, 0.5261678794731764, 0.5463249949383051, 0.0, 
0.5036427581125122, 0.48874694026450405, 0.5154232389267963, 0.0, 
0.48641551948217476, 0.48973688189225456, 0.4907216796134198, 0.0, 
0.5152308534853615, 0.530842068978595, 0.520590344040377, 0.0, 
0.5275853676405166, 0.5523406169176049, 0.5207065049755374, 0.0, 
0.7096753123624278, 0.7521111491234258, 0.7227647676064468, 0.0, 
0.616861805136648, 0.4471628555099529, 0.5847415492942307, 0.0, 
0.4770863147091481, 0.47634555234462894, 0.48294821548352856, 0.0, 
0.4816669597526574, 0.4751716734760523, 0.4800292025176571, 0.0, 
0.48228954759429477, 0.5090298533326656, 0.49521195281690944, 0.0, 
0.5002669970032764, 0.5069958816729223, 0.5032900542395435, 0.0, 
0.5113001018857275, 0.521791977636008, 0.516468435691282, 0.0, 
0.5442935387281357, 0.5523921220432055, 0.5392252450364369, 0.0, 
0.5234294710774228, 0.5312626117346492, 0.5242373576306925, 0.0, 
0.5089624691777671, 0.5410703315421324, 0.5102244171398118, 0.0, 
0.5604813784484237, 0.5599114362086093, 0.5583893453088404, 0.0, 
