Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5921511633219001, 0.552637694273388, 0.548419562841941, 0.0, 
0.5773419384504795, 0.5042701784806568, 0.5318181755425112, 0.0, 
0.5384634055361706, 0.5046777490230495, 0.5072253980090018, 0.0, 
0.5646175298381003, 0.4572885237787946, 0.5045839121465494, 0.0, 
0.5306288533838258, 0.4716988349783752, 0.4746360485730606, 0.0, 
0.6534891858712519, 0.6629207382164742, 0.6226406357872952, 0.0, 
0.6024613016203575, 0.5297037261143079, 0.5737142707584374, 0.0, 
0.6074928791025997, 0.6025302699570464, 0.5660520089617825, 0.0, 
0.5840002884130081, 0.4996203502394211, 0.5580475817359835, 0.0, 
0.5414043454715254, 0.47222610719778657, 0.48753371620210306, 0.0, 
0.5206884537354093, 0.46415900216123535, 0.4750599048466468, 0.0, 
0.5840002884130081, 0.4996203502394211, 0.5580475817359835, 0.0, 
0.6120747638863587, 0.46022369454105827, 0.5664989011859906, 0.0, 
0.5602919586548292, 0.5234640765919563, 0.5304196042725441, 0.0, 
0.5444354007079487, 0.4892501858417001, 0.5143676740134623, 0.0, 
0.561845868425282, 0.4881493893726147, 0.5298962320788616, 0.0, 
0.5426261231263654, 0.48261180533521103, 0.49130729594529476, 0.0, 
0.5505903667631484, 0.46914681862986696, 0.4886420025064433, 0.0, 
0.5831498377942247, 0.5151275744071018, 0.5504825123689664, 0.0, 
0.5458915647052657, 0.5006555535717119, 0.4975743107574713, 0.0, 
0.5476111043653115, 0.5049257017996729, 0.5096652777950842, 0.0, 
0.539527665756463, 0.47343199710584966, 0.4840845107146611, 0.0, 
0.5473466531730118, 0.44207210211764614, 0.4998210614150814, 0.0, 
0.6213589908420414, 0.5956300134592741, 0.5850471059576932, 0.0, 
0.576592082441643, 0.5107229925623483, 0.5085729120019575, 0.0, 
