Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5452821426739931, 0.4377945242677642, 0.4999466687221827, 0.0, 
0.5772438604509265, 0.4712736642245384, 0.5237597655540539, 0.0, 
0.5367357328917329, 0.43332438009114743, 0.47613163231546496, 0.0, 
0.6000960351947378, 0.47120541433996005, 0.5468696905854341, 0.0, 
0.5451900552521859, 0.4705532639145794, 0.4960086440827018, 0.0, 
0.5847931284881897, 0.48086246738774185, 0.541442293202679, 0.0, 
0.6125596856199721, 0.5144201576729697, 0.575334426622248, 0.0, 
0.5848217619597545, 0.48179055141089994, 0.5437067350276378, 0.0, 
0.6005772060203698, 0.4599342675403992, 0.5557899058794038, 0.0, 
0.6076819092249883, 0.5301521278289832, 0.5729972058918201, 0.0, 
0.5821378179985375, 0.47994797665016314, 0.5321405101947445, 0.0, 
0.6013035136540219, 0.4886625703039967, 0.5610751317273007, 0.0, 
0.5505674749324763, 0.4398827600625324, 0.4851545072614355, 0.0, 
0.5588311499657722, 0.482385990478311, 0.5140325491527121, 0.0, 
0.5579746028062788, 0.4884933930635263, 0.510443707753989, 0.0, 
0.5603765693188171, 0.4938712035021273, 0.5095534386798383, 0.0, 
0.5808384037622517, 0.52881671887527, 0.543100433890436, 0.0, 
0.5959573075086463, 0.4924388878398481, 0.5416768544354365, 0.0, 
0.620570732321112, 0.5042228587964177, 0.5742236814485413, 0.0, 
0.5827323355665549, 0.4550650017999784, 0.529722890940769, 0.0, 
0.6526513800938115, 0.5862500197813642, 0.6183809787957976, 0.0, 
0.5888793137053866, 0.501307771812861, 0.5410900700543888, 0.0, 
0.5772744627625643, 0.4589028359867365, 0.523827214258287, 0.0, 
0.5695802430433689, 0.4173577785358567, 0.5100517535987715, 0.0, 
0.608161728154194, 0.47258268108618945, 0.5799516642462794, 0.0, 
