Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.6020391965182045, 0.5607208971018465, 0.5636219538485068, 0.0, 
0.5854653471473649, 0.5001475186106721, 0.5467955858839982, 0.0, 
0.6205122661003845, 0.5575377034505612, 0.5878176370974283, 0.0, 
0.5319335148752666, 0.3786963977378895, 0.4837617689915297, 0.0, 
0.6431864427568125, 0.6530058437367824, 0.6155880207624012, 0.0, 
0.5612662913529691, 0.4641473539646915, 0.5268146394321184, 0.0, 
0.595199821805755, 0.5475224117774309, 0.565221150334646, 0.0, 
0.5565030638768971, 0.4820444578433981, 0.5215406744098767, 0.0, 
0.530191990859464, 0.48752337532854395, 0.4925005491515062, 0.0, 
0.5807131797860784, 0.46260467062353694, 0.543276581164657, 0.0, 
0.5525609502773056, 0.49297860875504224, 0.5063687669622757, 0.0, 
0.6426831733330884, 0.5571920388270242, 0.6087181589953787, 0.0, 
0.6005965495303981, 0.44155049068570057, 0.5699170469002434, 0.0, 
0.5762438239362043, 0.4880308398629497, 0.5340166478565924, 0.0, 
0.5829189937384935, 0.5670548278754618, 0.5450143129193988, 0.0, 
0.5606304944683402, 0.5116206327276677, 0.5222362051194496, 0.0, 
0.5527852435503947, 0.40771735803778153, 0.5109648284641325, 0.0, 
0.5331261472192707, 0.5077219937569876, 0.4978681979824118, 0.0, 
0.5651396020852393, 0.49316197041693194, 0.526750472231587, 0.0, 
0.5087849228044419, 0.4540568583926718, 0.469093887538396, 0.0, 
0.5693781042916305, 0.5012684927998718, 0.5309309041452888, 0.0, 
0.5888329827602684, 0.48082064134417646, 0.5570617219611407, 0.0, 
0.5629215544291601, 0.47090296948792465, 0.5215550262484383, 0.0, 
0.5367418598715678, 0.4695293567146944, 0.4948825192666992, 0.0, 
0.5621739485092397, 0.4653553102422104, 0.5237041016862527, 0.0, 
