Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.4838982435399957, 0.46490382120107826, 0.4818920342089618, 0.0, 
0.47720564950787586, 0.4651304834824755, 0.47806132609541985, 0.0, 
0.48941848930308024, 0.4623602275192576, 0.4882838086191278, 0.0, 
0.5161753066435536, 0.5107237730605664, 0.5157104919590001, 0.0, 
0.4540728548241666, 0.44700987944013454, 0.4527177124666611, 0.0, 
0.45614622469860455, 0.4511858634822034, 0.4552385526489926, 0.0, 
0.479035573721296, 0.4690670611499071, 0.477787088711546, 0.0, 
0.49503875675442977, 0.46751972068817466, 0.49595478077289934, 0.0, 
0.4940251073468189, 0.47878430813521133, 0.4933818727587324, 0.0, 
0.5223786380257281, 0.5208370228329179, 0.5248964503424347, 0.0, 
0.4690735531458165, 0.43002665178211763, 0.46837596068618736, 0.0, 
0.4599208441879023, 0.44485597834206364, 0.4589917377566978, 0.0, 
0.47387740551855384, 0.47191463910395165, 0.47434951722368734, 0.0, 
0.4719697642139072, 0.4618540094485697, 0.4704947097261398, 0.0, 
0.45084947493676375, 0.4225970008581204, 0.4498968748317801, 0.0, 
0.479294507456757, 0.46264346332734174, 0.48050111514388155, 0.0, 
0.463201195636231, 0.42889538342028577, 0.46228506675896813, 0.0, 
0.4637989891729066, 0.4381575688196546, 0.46242710914432983, 0.0, 
0.4961635323671014, 0.48021727474207543, 0.496916985373033, 0.0, 
0.4479224462484669, 0.45360369035938, 0.4481164740130903, 0.0, 
0.4720881486347194, 0.4801846125317619, 0.4718843582584977, 0.0, 
0.522575361835568, 0.5255216831916956, 0.5264428372976895, 0.0, 
0.48677876432866796, 0.4736882310787081, 0.48749824593209473, 0.0, 
0.5086280189571526, 0.5174710168540301, 0.5103875941952272, 0.0, 
0.4853059014614507, 0.4646469398203548, 0.4859190281577699, 0.0, 
