Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9464846028254182, 0.8692639677845468, 0.9095570938931764, 0.0, 
0.9502508457203579, 0.9023056659208148, 0.9276620913251059, 0.0, 
0.8745210168901227, 0.7640148232528304, 0.7958783851149591, 0.0, 
0.944358199459705, 0.8695817836554102, 0.9092569145491993, 0.0, 
0.8754244716498321, 0.7624291122557639, 0.7928861893551115, 0.0, 
0.8769259053595189, 0.7628563145224212, 0.7947702275259033, 0.0, 
0.8871427894904352, 0.7703313771687482, 0.8053389508408824, 0.0, 
0.9233286706216227, 0.8395476631515272, 0.8806510982879792, 0.0, 
0.9575420512787689, 0.91177662180158, 0.9289416813549596, 0.0, 
0.9473150644375617, 0.8950864150456536, 0.9188593988252306, 0.0, 
0.8772239696443401, 0.7606673564131661, 0.8019302456170694, 0.0, 
0.8967166888279817, 0.7915034387019407, 0.8195192352883643, 0.0, 
0.9227712488962062, 0.8459235446093518, 0.8837828655806423, 0.0, 
0.8809006980504963, 0.7579457633961147, 0.8007155856491414, 0.0, 
0.880750745289404, 0.7753021732415908, 0.8014955402805352, 0.0, 
0.9325478329792773, 0.8447946921017259, 0.8905260417263129, 0.0, 
0.8811061281348214, 0.7537710987390911, 0.7969618749147281, 0.0, 
0.940381142964109, 0.8724928389681937, 0.905517141404469, 0.0, 
0.9301011279191119, 0.8435545046099053, 0.8867909056958394, 0.0, 
0.8874783785793564, 0.7833018569943875, 0.8110132779886511, 0.0, 
0.865457078281771, 0.7147436943563978, 0.7700298969409758, 0.0, 
0.911579851277521, 0.7965299736924094, 0.8544907456514362, 0.0, 
0.8838475410900365, 0.767862175133608, 0.8038283407868806, 0.0, 
0.8661577717233017, 0.737889083011458, 0.7762365948906195, 0.0, 
0.9259956057867339, 0.837826356874741, 0.8847025968787783, 0.0, 
