Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5168263272626654, 0.40417973474149455, 0.47509955522445235, 0.0, 
0.557939074919623, 0.4313414542438739, 0.5167400005603497, 0.0, 
0.5316921305471661, 0.40938051871126924, 0.49176487942209346, 0.0, 
0.5485382819642884, 0.46580963055577623, 0.5119561881918645, 0.0, 
0.565834098652002, 0.4523751437774854, 0.5270833230444194, 0.0, 
0.5774966794907402, 0.4929157128450158, 0.5448728878452214, 0.0, 
0.5740273934315704, 0.4714677405314425, 0.5355730164611857, 0.0, 
0.5567298798145222, 0.4428555936359234, 0.5203344848046568, 0.0, 
0.552450802752112, 0.44393075595950665, 0.5138989800306837, 0.0, 
0.5493755150512724, 0.42980818436174656, 0.5065744749783986, 0.0, 
0.564679508006223, 0.47156976984497134, 0.5334297907257418, 0.0, 
0.5599342451026381, 0.4519126920832465, 0.5267176627988266, 0.0, 
0.5199007360079796, 0.3815331306351042, 0.49327495656234116, 0.0, 
0.5605601696904778, 0.4480274173324129, 0.5178431038821543, 0.0, 
0.5312648985028796, 0.4129269425211796, 0.49618817067217297, 0.0, 
0.5467698671871773, 0.4201017228266431, 0.5048109138187867, 0.0, 
0.5376708832032241, 0.4409390751151997, 0.5023966111113174, 0.0, 
0.5782389837496416, 0.48635806245908186, 0.5494498594112517, 0.0, 
0.5811818304448755, 0.473374131649795, 0.5445963477406145, 0.0, 
0.5560313616879079, 0.46139854434779715, 0.5237747958048569, 0.0, 
0.5515364170307584, 0.4357216504688779, 0.5092296927301633, 0.0, 
0.5502536798841376, 0.44198341881217657, 0.5112353869508156, 0.0, 
0.554732927629449, 0.43050122195765417, 0.5141302111146423, 0.0, 
0.5412437045428694, 0.4341254082245687, 0.502599256049006, 0.0, 
0.5475690354115642, 0.4189744334716339, 0.5088695284057932, 0.0, 
