Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9992009498492543, 0.9724960344238645, 0.9944066489447826, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9996459618221324, 0.9832476388307747, 0.9975217327549257, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9993085542371621, 0.9806395186405371, 0.9951598796601342, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9992315955312377, 0.9768387334161811, 0.9946211687186659, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9996307985480681, 0.9821102996560942, 0.997415589836477, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9994062175136237, 0.9793107013357772, 0.9958435225953665, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9995014310155017, 0.9761311077340126, 0.9965100171085123, 0.0, 
0.9995404442423472, 0.9778573505717748, 0.9967831096964299, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
0.9996249523522951, 0.9818086333842785, 0.9973746664660661, 0.0, 
0.999051672862495, 0.9688412263358002, 0.9933617100374651, 0.0, 
0.9996542771185809, 0.9833260858047161, 0.9975799398300674, 0.0, 
