Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9975312373766786, 0.9597014925373135, 0.9827186616367463, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9960829017570607, 0.9038805970149255, 0.9725803122994249, 0.0, 
0.999646165773916, 0.9931057796171283, 0.9975231604174124, 0.0, 
0.9953464287535515, 0.8727363184079602, 0.9674250012748556, 0.0, 
0.9965731953441954, 0.9226865671641792, 0.9760123674093657, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9953394164268508, 0.8723971001359063, 0.9673759149879531, 0.0, 
0.99532565318003, 0.8710892621195289, 0.9672795722602054, 0.0, 
0.9974864774024551, 0.9575469083155651, 0.9824053418171862, 0.0, 
0.9975692079470614, 0.9608955223880598, 0.9829844556294253, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9957280229561278, 0.8839221970453283, 0.9700961606928952, 0.0, 
0.9986952096147796, 0.9717546736948011, 0.9908664673034572, 0.0, 
0.9953795209835262, 0.8710077297348329, 0.9676566468846813, 0.0, 
0.9975312373766786, 0.9597014925373135, 0.9827186616367463, 0.0, 
0.9960850231663175, 0.8981018328826202, 0.9725951621642238, 0.0, 
0.9975312373766786, 0.9597014925373135, 0.9827186616367463, 0.0, 
0.9989572105992718, 0.9740228427314533, 0.992700474194903, 0.0, 
0.9985915277109677, 0.9706937266793108, 0.9901406939767742, 0.0, 
0.9954169924522355, 0.8725582874050685, 0.9679189471656451, 0.0, 
0.997834069175962, 0.9576338690989369, 0.9848384842317339, 0.0, 
0.9975312373766786, 0.9597014925373135, 0.9827186616367463, 0.0, 
0.9975312373766786, 0.9597014925373135, 0.9827186616367463, 0.0, 
0.9975164198757549, 0.959026575770497, 0.9826149391302852, 0.0, 
