Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9975342336752847, 0.9064918669579396, 0.9827396357269881, 0.0, 
0.9956376382650035, 0.8798167557794868, 0.9694634678550246, 0.0, 
0.9976012793176978, 0.9116233752348771, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9032835820895523, 0.9832089552238806, 0.0, 
0.9963059005185066, 0.8974626041739734, 0.9741413036295486, 0.0, 
0.9972818746424825, 0.9148501391522229, 0.9809731224973752, 0.0, 
0.9978012640242397, 0.9605747464301013, 0.9846088481696773, 0.0, 
0.9959730199866058, 0.8952238805970147, 0.9718111399062398, 0.0, 
0.9976012793176978, 0.9056076087259017, 0.9832089552238806, 0.0, 
0.9960235444710449, 0.8883411739747614, 0.9721648112973144, 0.0, 
0.99740891244869, 0.926292773519687, 0.9818623871408281, 0.0, 
0.9958003452873373, 0.8798734306128654, 0.970602417011361, 0.0, 
0.9964772815360651, 0.8934008163551331, 0.9753409707524584, 0.0, 
0.996771263534723, 0.8988196802323155, 0.9773988447430613, 0.0, 
0.9954066332636707, 0.872836077554628, 0.9678464328456963, 0.0, 
0.9966398243030087, 0.898748594347773, 0.9764787701210604, 0.0, 
0.9963582844007646, 0.8880488397653473, 0.9745079908053486, 0.0, 
0.9967103946679918, 0.8962780047865102, 0.9769727626759412, 0.0, 
0.9976012793176978, 0.9075809766289611, 0.9832089552238806, 0.0, 
0.9958601878202566, 0.8795507321507445, 0.9710213147417938, 0.0, 
0.997340134346857, 0.9015370152754216, 0.9813809404279987, 0.0, 
0.99632222718438, 0.8929712227951307, 0.9742555902906607, 0.0, 
0.9960379153157818, 0.886748641527074, 0.9722654072104754, 0.0, 
0.9969998298187223, 0.8977574412422593, 0.9789988087310572, 0.0, 
0.997368659462524, 0.9073836709602786, 0.9815806162376678, 0.0, 
