Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9982394252456692, 0.9682784373787976, 0.9876759767196852, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9609372740702098, 0.9832089552238806, 0.0, 
0.9981346989485211, 0.963999830413623, 0.9869428926396469, 0.0, 
0.9976992978418706, 0.9636979925776012, 0.9838950848930956, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9975692079470614, 0.9594447367567769, 0.9829844556294253, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9982014546752865, 0.9670844075280512, 0.9874101827270061, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9982358914512814, 0.96825212364553, 0.9876512401589707, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976680350444627, 0.9630418032859396, 0.9836762453112399, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9623880597014925, 0.9832089552238806, 0.0, 
0.9976012793176978, 0.9600816363175734, 0.9832089552238806, 0.0, 
