Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9963827450980393, 0.9457411764705882, 0.9819137254901957, 0.0, 
0.9925092810457518, 0.8876392156862744, 0.9625464052287585, 0.0, 
0.9806567320261437, 0.7098509803921568, 0.9032836601307186, 0.0, 
0.9856721568627452, 0.7850823529411765, 0.9283607843137253, 0.0, 
0.9900308496732031, 0.8504627450980394, 0.9501542483660137, 0.0, 
0.9977286274509806, 0.9659294117647056, 0.9886431372549019, 0.0, 
0.9952146405228757, 0.9282196078431371, 0.9760732026143789, 0.0, 
0.9889160784313726, 0.8337411764705882, 0.9445803921568625, 0.0, 
0.9868820915032676, 0.8032313725490197, 0.9344104575163397, 0.0, 
0.9992324183006537, 0.9884862745098036, 0.9961620915032675, 0.0, 
0.9930833986928104, 0.8962509803921573, 0.9654169934640525, 0.0, 
0.9865882352941175, 0.7988235294117647, 0.932941176470588, 0.0, 
0.9882279738562093, 0.8234196078431373, 0.9411398692810456, 0.0, 
0.9922562091503271, 0.8838431372549019, 0.9612810457516341, 0.0, 
0.9871968627450979, 0.8079529411764708, 0.9359843137254898, 0.0, 
0.9776752941176471, 0.6651294117647057, 0.8883764705882351, 0.0, 
0.9871654901960779, 0.8074823529411765, 0.935827450980392, 0.0, 
0.997768366013072, 0.9665254901960787, 0.9888418300653596, 0.0, 
0.9929746405228761, 0.8946196078431373, 0.964873202614379, 0.0, 
0.9899095424836597, 0.8486431372549018, 0.9495477124183, 0.0, 
0.9990713725490202, 0.9860705882352938, 0.9953568627450977, 0.0, 
0.9894138562091503, 0.8412078431372553, 0.9470692810457515, 0.0, 
0.9872334640522876, 0.808501960784314, 0.9361673202614381, 0.0, 
0.9913254901960783, 0.8698823529411769, 0.9566274509803923, 0.0, 
0.984886797385621, 0.7733019607843138, 0.9244339869281046, 0.0, 
