Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9668967320261436, 0.5034509803921567, 0.834483660130719, 0.0, 
0.9661783006535946, 0.49267450980392163, 0.8308915032679738, 0.0, 
0.9679623529411763, 0.5194352941176469, 0.8398117647058821, 0.0, 
0.9697819607843138, 0.546729411764706, 0.8489098039215685, 0.0, 
0.9835398692810456, 0.7530980392156864, 0.9176993464052283, 0.0, 
0.9687508496732025, 0.5312627450980392, 0.8437542483660131, 0.0, 
0.9658332026143788, 0.4874980392156864, 0.8291660130718953, 0.0, 
0.966249411764706, 0.49374117647058813, 0.8312470588235297, 0.0, 
0.9677563398692809, 0.5163450980392158, 0.8387816993464052, 0.0, 
0.9713317647058824, 0.5699764705882352, 0.8566588235294117, 0.0, 
0.9731398692810458, 0.5970980392156864, 0.8656993464052288, 0.0, 
0.9657495424836601, 0.48624313725490176, 0.8287477124183007, 0.0, 
0.9601317647058824, 0.4019764705882355, 0.8006588235294115, 0.0, 
0.9561328104575161, 0.34199215686274503, 0.7806640522875816, 0.0, 
0.9660402614379089, 0.4906039215686275, 0.8302013071895424, 0.0, 
0.9723586928104573, 0.5853803921568629, 0.8617934640522873, 0.0, 
0.9786028758169935, 0.6790431372549017, 0.8930143790849671, 0.0, 
0.9722070588235294, 0.5831058823529413, 0.861035294117647, 0.0, 
0.9583058823529411, 0.3745882352941178, 0.7915294117647059, 0.0, 
0.9728721568627454, 0.5930823529411764, 0.8643607843137253, 0.0, 
0.9649788235294117, 0.47468235294117633, 0.824894117647059, 0.0, 
0.969671111111111, 0.5450666666666666, 0.8483555555555556, 0.0, 
0.9672721568627449, 0.5090823529411764, 0.8363607843137254, 0.0, 
0.9770603921568625, 0.655905882352941, 0.8853019607843137, 0.0, 
0.9620716339869282, 0.4310745098039214, 0.8103581699346406, 0.0, 
