Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
0.9666666666666668, 0.5, 0.8333333333333336, 0.0, 
