Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.748961257610935, 0.4649101110347874, 0.6352186324664746, 0.0, 
0.7593828690896649, 0.48229597666899554, 0.6472449031673083, 0.0, 
0.7622474770906753, 0.499555924013304, 0.6545004043969129, 0.0, 
0.7570943840499164, 0.5086813185888066, 0.6491604299801046, 0.0, 
0.7544897449720633, 0.48689858099157635, 0.6425824144196227, 0.0, 
0.7637398618867836, 0.4861574849381335, 0.6561110981313704, 0.0, 
0.7490677341790177, 0.45413101709159037, 0.6346360223819287, 0.0, 
0.7505446377423752, 0.4637434954581018, 0.6329289715077663, 0.0, 
0.7632745964730498, 0.49258085053533135, 0.650222070141742, 0.0, 
0.7298690033581872, 0.40233431383893425, 0.6091305263819444, 0.0, 
0.7539900690549972, 0.4749682616997506, 0.6476892315702005, 0.0, 
0.7477154531297222, 0.46047942400902125, 0.631702826918521, 0.0, 
0.7477997291911932, 0.4556716857555985, 0.6312216143574635, 0.0, 
0.7383045458521571, 0.43559758146689037, 0.6185737632178274, 0.0, 
0.7801882256525796, 0.5473436401378436, 0.6772574322513083, 0.0, 
0.7565854224137322, 0.48439450544072865, 0.64438521301459, 0.0, 
0.7552773027487971, 0.4695987887680088, 0.6407287310446055, 0.0, 
0.7302343876358918, 0.4120732647811171, 0.6059093707820018, 0.0, 
0.7546051272763534, 0.4712048262101023, 0.6377134441670954, 0.0, 
0.761644223913398, 0.5130151180302179, 0.6532281820498899, 0.0, 
0.7561567151014996, 0.4817835727791466, 0.6442196625601644, 0.0, 
0.762253024398165, 0.5113678020006445, 0.657192573760609, 0.0, 
0.7574039482942936, 0.48152563561253275, 0.6466315731302918, 0.0, 
0.7581843615062771, 0.47667912003214025, 0.6441692863972308, 0.0, 
0.7554210929540895, 0.47637445509654813, 0.6433036119439933, 0.0, 
