Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.5777317676265353, 0.47847879661587217, 0.5201348736062712, 0.0, 
0.5620471211834169, 0.4640359594907397, 0.5026518251094998, 0.0, 
0.5840569053708439, 0.4867207248339117, 0.5264488755173172, 0.0, 
0.5784448016324081, 0.4804462049875687, 0.5170360210683818, 0.0, 
0.5607323537305421, 0.46731661006285735, 0.5000962530881311, 0.0, 
0.553007009567112, 0.46052289915957056, 0.491900327769993, 0.0, 
0.5669397773199456, 0.4713658165618166, 0.5089128458425811, 0.0, 
0.5801994233683812, 0.47868238376934424, 0.5231607855982323, 0.0, 
0.5799920570079885, 0.4782822503299342, 0.5213565316722437, 0.0, 
0.5866055500299958, 0.491497074225648, 0.5275179881145218, 0.0, 
0.5815563429478071, 0.48200596308006194, 0.5211897909453295, 0.0, 
0.5758731568311704, 0.4812430602914224, 0.5198535370981991, 0.0, 
0.5925982365571028, 0.49380622682921377, 0.5354194860307379, 0.0, 
0.5651569258943513, 0.4674330146611202, 0.5088799703821218, 0.0, 
0.5819870899245366, 0.4839751213364367, 0.5239543010796499, 0.0, 
0.5815019260522245, 0.48224045861348114, 0.522353973357261, 0.0, 
0.575916335133087, 0.47736738833677167, 0.5208900355162107, 0.0, 
0.5754804178112468, 0.4785681764459585, 0.5159166478747907, 0.0, 
0.5832736671560735, 0.48460448465914924, 0.5245080299980526, 0.0, 
0.5754437616431437, 0.4799391803030747, 0.5148918013579441, 0.0, 
0.5782222301158789, 0.4825258756891409, 0.5187125432953263, 0.0, 
0.5585076548735437, 0.4640185862074111, 0.5003033343381628, 0.0, 
0.5774182217170282, 0.48453734833059925, 0.5196375855922064, 0.0, 
0.5794068805058253, 0.48286711227160845, 0.5236883627934521, 0.0, 
0.5829018068580089, 0.48321272979799945, 0.5256254214757882, 0.0, 
