Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
0.9565364705882353, 0.3480470588235295, 0.7826823529411765, 0.0, 
0.9797416993464053, 0.6961254901960783, 0.8987084967320262, 0.0, 
0.9715325490196082, 0.5729882352941176, 0.8576627450980393, 0.0, 
0.9812318954248368, 0.7184784313725491, 0.9061594771241831, 0.0, 
0.9691377777777777, 0.5370666666666667, 0.8456888888888887, 0.0, 
0.9842436601307185, 0.7636549019607842, 0.9212183006535946, 0.0, 
0.9826593464052287, 0.7398901960784312, 0.9132967320261438, 0.0, 
0.9722666666666664, 0.5840000000000001, 0.8613333333333333, 0.0, 
0.9643858823529412, 0.4657882352941178, 0.8219294117647058, 0.0, 
0.9652674509803921, 0.4790117647058823, 0.8263372549019605, 0.0, 
0.9681589542483664, 0.5223843137254901, 0.8407947712418302, 0.0, 
0.9719686274509803, 0.579529411764706, 0.8598431372549019, 0.0, 
0.9663508496732022, 0.4952627450980393, 0.8317542483660132, 0.0, 
0.9730739869281047, 0.5961098039215685, 0.8653699346405229, 0.0, 
0.9821898039215687, 0.7328470588235295, 0.9109490196078432, 0.0, 
0.9724339869281045, 0.5865098039215688, 0.8621699346405226, 0.0, 
0.9801767320261437, 0.7026509803921567, 0.9008836601307189, 0.0, 
0.9763660130718951, 0.6454901960784315, 0.8818300653594773, 0.0, 
0.9808177777777775, 0.7122666666666668, 0.9040888888888887, 0.0, 
0.9809610457516338, 0.7144156862745097, 0.9048052287581697, 0.0, 
0.9904543790849673, 0.8568156862745097, 0.9522718954248361, 0.0, 
0.9612632679738562, 0.4189490196078432, 0.8063163398692811, 0.0, 
0.969933594771242, 0.5490039215686273, 0.8496679738562092, 0.0, 
0.972663006535948, 0.5899450980392156, 0.8633150326797381, 0.0, 
0.9782169934640524, 0.6732549019607845, 0.8910849673202612, 0.0, 
